ProteinID,Intensity_24_177_14,Intensity_24_177_15,Intensity_24_177_16,Intensity_24_177_24,Intensity_24_177_27,Intensity_24_177_28,Intensity_24_177_34,Intensity_24_177_43,Intensity_24_177_44,Intensity_24_177_50,Intensity_24_177_51,Intensity_24_177_52,Intensity_24_177_60,Intensity_24_177_63,Intensity_24_177_64,Intensity_24_177_71,Intensity_24_177_7,Intensity_24_177_8
30,0,2.4237409668988655e-5,0,0,0,0,0,0,1.5097384451047753e-5,0,0,0,0,0,0,0,0,0
31,0,1.1373723359428242e-5,0,0,0,0,0,0,1.3444091758029511e-5,0,0,0,0,0,0,0,0,0
32,0,8.541115003441281e-6,0,0,0,0,0,0,4.916537480227575e-6,0,0,0,0,0,0,0,0,0
33,0,9.240938408532678e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,1.9528220811497362e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,3.975380459270969e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,3.349903948885804e-5,0,0,0,0,0,0,3.0617886301626344e-5,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,2.1570060854905816e-5,0,0,3.2147701306052106e-5,0,0,0,0,0,0,0,0,0
38,0,6.066201160995319e-5,0,0,0,0,0,0,3.289809559369907e-5,0,0,0,0,0,0,0,0,0
39,0,3.827406215160018e-5,2.9226249068650088e-5,3.0422086291443766e-5,3.244063014096021e-5,1.5291916841186962e-5,2.8766208903101952e-5,0,0,0,0,0,0,2.1505475739038467e-5,0,1.686302181519808e-5,1.5951154249855077e-5,2.690825173603022e-5
40,0,7.604535491062006e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,5.058190218719315e-6,0,0,0,0,0,0,2.2528873369757733e-6,0,0,0,0,0,0,0,0,0
42,0,1.5257151013293653e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,1.6007148827733582e-4,0,0,0,0,0,0,1.7909701614375262e-4,0,0,0,0,0,0,0,0,0
44,0,0,0,3.363004288456316e-5,0,0,0,9.096290826813164e-6,0,0,0,0,0,0,0,0,2.4360345704405258e-5,0
45,0,5.2957090863945296e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,8.307210526914568e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,1.1739132895594623e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,1.783451144203406e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,7.358185790471137e-6,2.7357799422221407e-6,0,0,0,0,0,0,0,0,0
50,0,2.594376580621456e-4,0,0,0,0,0,0,7.710028898449595e-5,0,0,0,0,4.525936740776582e-6,0,0,0,0
51,1.559697922463174e-5,1.887422403917896e-4,4.569734436278752e-5,1.888986814312407e-4,9.86142700313046e-5,3.2349954118663517e-5,2.4843244850999853e-5,1.6555637022417414e-5,5.3610334362616306e-5,1.506206559594782e-5,2.2375300607108753e-5,0,8.843997883657268e-6,3.3896612700221466e-5,9.698535206056473e-6,3.951893501767474e-5,4.504609015254184e-5,2.9478197284915907e-5
52,0,0.0012381021817691265,0,0,0,0,0,7.059187335114511e-5,5.443484808551171e-4,0,8.635073243843522e-6,1.2009834382929727e-4,1.8130727339101078e-5,2.42168096271311e-4,4.7318785147975217e-5,0,1.3699003056944802e-4,0
53,0,8.21884612711571e-6,0,0,0,0,0,0,5.096266549140472e-6,0,0,0,0,0,0,0,0,0
54,0,8.33389767834464e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0,1.3198180959626246e-5,0,0,0,3.246723701567295e-5,0,2.9439287235713324e-5,0,0,5.899033374366748e-6,1.0638325222900103e-4,0,0,0,0,0,0
56,0,5.8143549388866525e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,9.610636830128232e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.785682258798042e-6,0
58,0,2.9699686360781915e-5,0,0,0,0,0,0,3.2797053917950994e-5,0,0,0,0,0,0,0,0,0
59,0,9.8834714613693e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,5.978953715816611e-5,0,0,0,0,0,0,1.278169480146703e-5,0,0,0,0,0,0,0,0,0
61,0,1.727578981137599e-4,0,0,0,0,0,0,7.562892167836292e-5,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,1.729203694587814e-5,0,0,0,0,0,0,0,0,0
63,0,2.86795928476971e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,5.413848397873168e-5,0,0,0,0,0,0,5.3756592533543574e-6,0,0,0,0,0,0,0,0,0
65,0,6.318492103055794e-5,0,0,0,0,0,0,6.848151447356167e-6,0,0,0,0,0,0,0,0,0
66,0,3.322314223555444e-5,0,0,0,0,0,0,1.378566575485203e-5,0,0,0,0,0,0,0,0,0
67,0,1.9644669932952748e-5,0,0,0,0,0,0,1.8940744295019865e-5,0,0,0,0,0,0,0,0,0
68,0,1.8732464435105902e-5,0,0,0,0,0,0,5.128900808727101e-6,0,0,0,0,0,0,0,0,0
69,0,2.0597778650755834e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,3.1454566260548875e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,3.540815052836437e-5,0,0,0,0,0,0,0,0,0
72,0,1.8271113736544758e-5,0,0,0,0,0,0,9.937459940087105e-6,0,0,0,0,0,0,0,0,0
73,0,5.275479907005196e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,1.67910408271319e-4,0,0,0,0,0,0,7.08794169665584e-5,0,0,0,0,0,0,0,0,0
75,0,1.8163018825552766e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,5.442050619370881e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,8.213965364481702e-5,0,0,0,0,0,0,3.197323238374851e-5,0,0,0,0,0,0,0,0,0
78,0,0,0,6.203086325923645e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,4.156230650533853e-5,0,0,0,0,0,0,6.910922887695469e-6,0,0,0,0,0,0,0,0,0
80,0,1.5164679768084005e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,2.0700542995034263e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,1.3752950537382071e-5,6.581036473623361e-6,0,0,0,0,0,0,0,0,6.99415604925806e-6,0,0
83,0,1.7669724976054896e-4,0,0,0,0,0,0,7.3340373624853535e-6,0,0,0,0,0,0,0,0,0
84,0,1.0230797320054215e-4,0,0,3.8354438671687834e-5,0,0,2.425583472913972e-5,1.7717369024255076e-5,2.3649098334232487e-5,0,2.4465321879257515e-5,0,5.0508007789842866e-5,0,0,2.3726029254753635e-5,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.648452990507942e-6
86,0,4.246281850937473e-5,0,0,0,0,0,0,1.583048799513428e-5,0,0,0,0,0,0,0,0,0
87,0,6.832527499038952e-5,0,2.9814813991139642e-5,1.7122911131250498e-5,0,0,0,1.137345152944411e-5,0,0,0,0,1.9990473602989163e-5,0,0,0,0
88,0,5.262233777071915e-5,0,0,0,0,0,1.7441915807627698e-5,0,0,0,0,0,0,0,0,0,0
89,0,1.0342477247234408e-4,0,0,0,0,6.723501099568897e-5,0,2.9129695235572187e-4,0,0,0,0,0,0,0,0,0
90,0,8.684136459775187e-5,0,3.1273285581609396e-5,0,1.7860362520644856e-5,0,0,2.1303561270537665e-5,0,0,0,0,0,0,0,0,0
91,0,5.303312964338403e-5,0,0,0,2.5566121778231476e-5,0,0,1.0768061023825512e-5,0,0,0,0,0,0,0,0,0
92,0,1.3043958181292445e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,2.19939609968974e-5,0,0,0,0,0,0,0,0,0
94,0,1.260030872082582e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,1.6082071923584106e-5,0,4.62052640599599e-5,2.1160139651275137e-5,0,0,3.066063927375633e-5,0,1.1271338186325723e-5,0,0,0,0,0,0,3.9812829754454786e-5,2.0808226160317438e-5
96,0,3.8681442009645917e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,3.2385894884179816e-5,0,0,0,3.596418440549501e-6,0,0,0,0,0,0,0,0,1.7946478579423128e-5
98,0,5.484103134648756e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,8.386534217778857e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,2.4689580692456906e-4,0,0,0,0,0,0,1.6113483330263477e-4,0,0,0,0,0,0,0,0,0
101,0,1.9941482722891083e-5,0,0,0,1.7886438230644665e-5,1.6336415736154985e-5,2.4380697325072658e-5,0,0,1.4319704435647592e-5,1.604111291871364e-5,0,7.389128298086139e-6,0,1.3844775311921321e-5,1.480673055865179e-5,0
102,0,1.1598849948179585e-4,0,0,0,0,0,0,8.362395943360428e-5,0,0,0,0,0,0,0,0,0
103,0,2.1186731069881376e-4,0,0,0,0,0,0,2.2010047072155192e-4,0,0,0,0,0,0,0,0,0
104,0,5.082145781293283e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,1.1945571219340303e-4,0,0,0,0,0,0,9.543051147837557e-6,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,5.554076575948504e-6,0,0,0,0,0,0,0,0,0
107,0,3.5347693300343213e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,3.353329803630473e-5,0,0,0,0,0,2.830295674964571e-6,0,0,0,0,0,0,0,0,0,0
109,0,8.145509844024322e-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,2.1522503113768425e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1.0695098559194874e-4,0,4.2412483056061134e-5,1.343506642087696e-4,1.3731373914041676e-5,0,0,0,0,0,0,0,0,0,0,0,0,0
112,7.347165890676004e-4,3.3859642547145777e-6,7.182945914587218e-5,4.353248535530682e-4,2.2364140071634973e-5,1.6915194933866883e-5,1.1977805519633637e-5,0,5.08062795924894e-6,3.077904087032806e-5,7.75564977693709e-6,0,0,8.829355637637149e-6,1.4522757414615238e-4,0,0,8.559077119270165e-6
113,0,0,0,1.9100588844487727e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,6.0988481841136556e-5,1.575170465817342e-4,4.16390053169045e-5,7.349277700150048e-6,0,0,0,0,0,0,0,0,0
115,2.0517719203372482e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,1.923170823118156e-5,0,0,0,0,0,0,0,0,0,0,3.977096228240905e-6
117,0,5.25151177533764e-6,0,0,0,2.476835473923438e-4,3.3291493319804723e-4,5.927065202596783e-5,2.6888420745047673e-5,0,0,0,1.2848833666130974e-5,0,1.0373594515726207e-5,0,1.1266801691750756e-5,6.196158957461158e-5
118,0,0,0,3.0929387398976054e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,5.466722593062083e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.2550454017181449e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,6.119260586426897e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,1.8887607562248406e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,3.6366617386643176e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,4.3621822395822694e-5,0,0,0,0,0,0,0,0,1.3805359420481225e-5,0,0,0,0,0,0,0,0
125,1.5976491693925536e-5,0,0,0,0,0,1.3652924357068458e-5,0,4.4380912936623134e-5,0,0,0,0,0,0,0,0,3.1737449746132744e-4
126,0,0,1.316473194478675e-5,0,2.052582610240144e-5,0,1.228523108651875e-5,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,4.132245134446614e-5,0,0,0,0,0,0,0,0,0,0,0,0
128,7.324684527255448e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1.4895670042746356e-5,0,0,1.243206034460268e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,5.2782506345978645e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,2.8357330620710705e-4,0,0,1.1915904784284171e-4,0,4.406457606448216e-6,0,0,0,1.70869900315154e-5,0,0,0,0,1.4335633952487649e-5,0,0,0
132,5.68725238393079e-4,0,0,4.12281757585879e-4,0,6.580322679797116e-6,0,0,0,0,0,0,0,0,3.819791383200801e-5,0,0,0
133,1.5526549945595896e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,2.6701671284521387e-4,0,0,1.4135068529172543e-4,4.553229542400099e-5,1.6511342746507525e-5,0,0,0,0,0,0,0,0,1.2462935106672486e-4,0,0,0
135,1.1065195594546613e-4,0,0,2.4133837110553514e-5,0,0,0,1.0345990931254433e-5,0,1.793934759848092e-5,0,0,0,0,0,0,0,0
136,2.3295289599590825e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,9.511046911553216e-6,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8922510383641687e-5,0,0
139,0,0,2.7847571688410176e-5,0,0,0,0,0,0,0,0,2.855017919432428e-5,0,0,0,0,0,0
140,0,1.3508414434550403e-5,0,0,9.626250289932816e-6,0,2.864683047586763e-5,4.689331305342416e-6,2.077433589398059e-5,0,1.4216197738033044e-5,4.7669283487111155e-6,1.9858551745474018e-5,2.5038100561489315e-5,0,9.080421114434633e-6,0,2.1441975057680054e-5
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1245473402059066e-4,0,0,0
142,0,0,0,0.0017706823385129486,3.868794986200109e-5,0,1.103644563446063e-4,0,2.1293544845191534e-5,2.206568609430242e-5,0,0,0.003884998853672096,1.1966358625096838e-5,0,0.0021025380776282516,2.2200416265262603e-5,1.8880566784758736e-5
143,0,0,0,0,0,0,7.188808191393043e-6,0,4.638161448467104e-5,0,0,0,0,0,0,0,0,0
144,0,0,5.596209630123849e-5,3.177209738567076e-5,6.449328077217097e-5,0,0,1.5819808022870573e-5,2.87468823912706e-5,2.1967099725286193e-4,2.8822965614072902e-5,0,8.267607351050712e-5,6.619888997422395e-6,1.2263336411161363e-5,0,1.242143691894397e-5,2.1621722426919944e-5
145,8.525183960889439e-5,0,0,0,1.2301694509449986e-4,0,0,0,3.151280991332437e-4,6.639511404920636e-5,0,4.941269774136088e-4,6.424773610461336e-4,0,0,0,0,7.937164556334289e-4
146,0,0,0,0,0,0,0,1.4328299666496279e-5,1.0534669945251876e-4,0,0,3.087564307995224e-5,2.756868252293014e-5,1.4971713413863107e-5,5.1806473132531795e-5,0,0,0
147,0,0,0,2.3124120091595828e-5,1.7054779222626578e-5,0,1.0568468040870092e-5,5.0304913804758724e-6,2.8740048246570167e-5,1.3811901165155592e-5,0,1.4811749967153439e-5,2.242219554431651e-5,0,0,0,3.105853918475726e-5,2.4787100210187897e-5
148,0,0,0,0,0,0,0,0,0,0,7.514720745588646e-6,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.567903347220983e-5
150,0,0,0,0,0,0,0,0,0,0,3.327578439333756e-5,0,0,0,0,7.819649686056324e-5,0,0
151,0,0,0,0,0,4.812982216111259e-5,0,0,0,0,0,0,0,2.0691441757511053e-5,0,3.9311245798905654e-5,0,0
152,0,1.0169290672416387e-5,0,0,0,0,0,0,0,0,2.0790725511926577e-5,0,0,1.3925580598961096e-5,0,0,2.280667561574794e-5,0
153,0,0,0,0,0,0,0,0,1.3479736226002262e-5,0,0,0,0,1.2435942569893214e-5,0,0,0,0
154,0,0,0,0,0,0,5.5379898043651175e-5,0,2.843597267851526e-6,6.8825054208673934e-6,1.6153690630017292e-5,0,0,0,0,2.7060892779108872e-5,0,2.6099961030682855e-5
155,0,6.358140249588185e-4,7.134365024830522e-5,0,4.949622655214358e-5,2.7219953455672987e-4,6.255331611206539e-6,6.180189283593726e-4,0.0012600869442152473,0,3.6202813517495735e-4,3.078792620170882e-4,5.774778315413729e-5,1.4119099820407197e-4,0.0010575274566614753,5.167213341366075e-4,6.171252653952785e-5,6.013798116560501e-6
156,0,0,0,0,0,0,0,0,0,0,1.7245384415751315e-5,0,0,0,0,0,0,0
157,0,0,0,0,0,3.451857583675646e-6,0,0,0,0,0,2.7293449512019305e-6,0,0,2.3539034929220233e-6,0,2.696281326673707e-6,0
158,0,0,0,0,0,0,0,0,6.547313730025122e-6,0,0,0,0,0,0,0,0,0
159,1.2202784821769178e-4,0,0,0,0,0,0,0,0,3.2715260272313285e-5,0,5.613094888132112e-6,0,8.717870466119418e-6,0,0,1.7900533839188032e-5,1.2031554636758035e-4
160,0,0,0,0,0,7.386864825109276e-6,2.323972669958814e-6,0,0,0,0,0,0,0,0,7.96770874655152e-6,0,0
161,0,0,0,0,2.7823613054271737e-5,0,0,1.495702676984547e-5,0,0,0,0,2.7266488897291045e-5,2.1773386275841598e-5,0,0,3.5814516870365965e-5,3.5687955625369315e-5
162,0,1.4454442092212601e-5,0,0,0,0,0,0,0,0,0,1.4384100746827071e-5,0,0,0,4.339866680496296e-6,0,0
163,0,0,0,0,1.4916385099549122e-5,0,0,0,0,1.5185729137302352e-5,0,0,0,0,0,0,0,0
164,0,0,0,0,0,3.0499430984118474e-5,5.309626100561337e-6,0,0,0,0,0,2.3801197263657884e-5,0,1.3018643085838377e-5,0,0,0
165,0,0,1.4416444214599445e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,1.0159439699007058e-5,0,0,0,2.849549926258093e-5,0,0,0,0,1.8335046682139514e-5,0,0,1.7117175719115174e-5,8.311257518102976e-6,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,2.016940661664725e-5,0,0,0,0,0,0
168,0,0,0,0,0,1.5867105781080946e-5,5.7594207517032684e-6,0,0,0,0,0,2.1078188137637363e-5,0,0,0,0,0
169,0,0,0,0,0,0,0,0,0,0,0,3.6725298719893404e-5,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.075635686724949e-6,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0,2.716607112429392e-5,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2066674422734804e-5,0
173,0,0,0,0,0,9.141044392651038e-6,0,0,0,0,0,0,0,0,0,0,0,0
174,0,1.597687143476179e-5,0,0,2.888694732015257e-5,0,0,1.36802640718523e-5,0,1.5819346208431402e-5,1.717194293203787e-5,0,0,2.458411755551088e-5,1.8183695651954585e-5,0,5.5601395180763626e-5,2.9559384991018824e-5
175,4.065703846942418e-5,0,0,0,0,0,0,0,0,6.12469900518868e-5,0,0,0,0,0,0,0,0
176,2.2610236975100864e-5,0,0,0,0,0,0,0,0,1.145743154931992e-5,0,0,0,0,0,0,0,0
177,0,0,0,0,0,1.463115748772008e-5,0,0,6.17221765225023e-6,0,0,0,0,0,0,0,0,0
178,0,0,4.0232297411946244e-5,0,0,0,1.4550488013272625e-5,0,0,2.9391086522000424e-5,0,0,2.982755438481953e-5,0,0,1.6257302596678412e-4,0,0
179,0,0,0,0,1.1000836774455934e-5,0,0,0,0,0,1.1599997106252822e-5,0,0,8.847277449758872e-6,0,0,0,0
180,9.630272241639614e-6,0,0,0,0,0,0,0,1.07690359374775e-5,0,1.0999807721641749e-5,0,0,0,0,0,0,1.7705457983191214e-5
181,0,0,0,0,0,0,0,0,2.081020296723721e-5,3.370800134093467e-5,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,1.5242110443778103e-5,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,1.1942449357365618e-5,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,0,8.967529604372297e-6,0,0,0,1.846581735724557e-5,0,0,5.038463127618691e-5
185,0,0,0,0,1.9418886065575704e-4,0,0,2.486361107043709e-4,9.661235055299744e-4,3.584428062352946e-5,0,0,2.014228015878126e-4,0,3.18152149606701e-4,0,0.0011483820444364327,0.0023166957713526247
186,0,0,0,0,0,0,0,0,0,0,0,0,6.537095855899967e-6,0,0,0,0,5.3573062814677415e-6
187,0,0,0,0,3.6580635106520156e-6,0,0,0,0,0,0,0,0,0,0,0,0,6.796088617936036e-6
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.969508021934375e-6
189,0,0,0,0,0,0,0,0,0,2.3382386428174165e-6,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,1.8478563730309972e-5,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,1.0344222172974653e-4,0,0,0,0,0,0,0,0
192,1.0302561880371566e-5,4.948869326812227e-6,0,3.3765595508821935e-5,1.552060252733832e-5,0,0,1.093893209337997e-5,2.0263670436073227e-5,8.418221954698984e-6,8.935647908901394e-6,0,1.2244432936595609e-5,5.121222554083743e-5,7.938330927765071e-5,0,2.0407635937073766e-5,4.125550360164021e-5
193,0,0,0,0,2.0327247645450337e-5,0,0,0,0,0,2.3069217847173073e-5,0,0,1.8076918524687833e-5,0,0,0,0
194,0,0,0,0,0,0,0,0,0,1.3963346741139155e-5,0,0,0,0,0,9.199350188942658e-5,0,2.719101401351417e-5
195,2.1693518530844282e-4,0,4.702404188159299e-4,0,0,0,0,0,0,2.4422017958622037e-4,5.738513162410625e-4,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,1.5289195462364124e-5,0,0,0,1.655188651339014e-5,0,0,0,0,0
197,0,1.6791946084321832e-5,0,0,0,0,1.8303460884951445e-4,0,0,0,0,0,0,5.117494432962346e-6,0,8.250535646575315e-5,0,0
198,0,0,0,0,0,0,0,0,0,0,9.873179833186083e-6,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,1.9353111838840214e-5,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,7.322493772685029e-6,0,1.479181341088758e-5,0,0,0,0,0,0,0,0
201,3.644686191579888e-5,0,6.974257035160214e-5,1.2358620733836884e-5,3.8963440664782645e-5,0,0,3.145047980748994e-5,0,4.871283563274984e-5,9.086794105039119e-6,0,0,0,0,0,4.494161013661426e-5,0
