Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. UBA2684],462,462,98%,1e-160,71.26,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_296217733.1?report=genbank&log$=prottop&blast_rank=11&RID=05MTD29S016"",""WP_296217733.1"")"
3 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. UMAB-40],462,462,98%,2e-160,70.09,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219095348.1?report=genbank&log$=prottop&blast_rank=12&RID=05MTD29S016"",""WP_219095348.1"")"
20 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],458,458,98%,1e-158,70.67,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_003138482.1?report=genbank&log$=prottop&blast_rank=13&RID=05MTD29S016"",""WP_003138482.1"")"
4 member(s) 4 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas donghuensis],457,457,99%,3e-158,68.60,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_327438515.1?report=genbank&log$=prottop&blast_rank=14&RID=05MTD29S016"",""WP_327438515.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas reinekei],454,454,98%,3e-157,68.62,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075949353.1?report=genbank&log$=prottop&blast_rank=15&RID=05MTD29S016"",""WP_075949353.1"")"
1 member(s) 1 organism(s),,MraY family glycosyltransferase [Pseudomonas sp. GG8],453,453,98%,7e-157,67.85,345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_447108202.1?report=genbank&log$=prottop&blast_rank=16&RID=05MTD29S016"",""WP_447108202.1"")"
3 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas guineae],452,452,99%,1e-156,70.35,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090238397.1?report=genbank&log$=prottop&blast_rank=17&RID=05MTD29S016"",""WP_090238397.1"")"
7 member(s) 4 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],451,451,98%,7e-156,68.62,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_102717099.1?report=genbank&log$=prottop&blast_rank=18&RID=05MTD29S016"",""WP_102717099.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas kitaguniensis],450,450,99%,1e-155,66.96,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_427134853.1?report=genbank&log$=prottop&blast_rank=19&RID=05MTD29S016"",""WP_427134853.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. 30_B],450,450,98%,2e-155,71.26,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_207886329.1?report=genbank&log$=prottop&blast_rank=20&RID=05MTD29S016"",""WP_207886329.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Atopomonas sediminilitoris],450,450,99%,2e-155,69.19,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_241583428.1?report=genbank&log$=prottop&blast_rank=21&RID=05MTD29S016"",""WP_241583428.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. R1-6],449,449,95%,3e-155,71.43,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_434563088.1?report=genbank&log$=prottop&blast_rank=22&RID=05MTD29S016"",""WP_434563088.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [unclassified Pseudomonas],448,448,99%,5e-155,68.13,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_223436462.1?report=genbank&log$=prottop&blast_rank=23&RID=05MTD29S016"",""WP_223436462.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas alkylphenolica],448,448,98%,8e-155,68.62,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197877072.1?report=genbank&log$=prottop&blast_rank=24&RID=05MTD29S016"",""WP_197877072.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MULTISPECIES: MraY family glycosyltransferase [unclassified Microbulbifer],448,448,98%,8e-155,68.71,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_308367610.1?report=genbank&log$=prottop&blast_rank=25&RID=05MTD29S016"",""WP_308367610.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. SP16.1],447,447,98%,1e-154,73.31,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_445579127.1?report=genbank&log$=prottop&blast_rank=26&RID=05MTD29S016"",""WP_445579127.1"")"
3 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],448,448,98%,1e-154,67.45,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169375163.1?report=genbank&log$=prottop&blast_rank=27&RID=05MTD29S016"",""WP_169375163.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas fluorescens],447,447,99%,1e-154,63.45,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_427533199.1?report=genbank&log$=prottop&blast_rank=28&RID=05MTD29S016"",""WP_427533199.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas benzenivorans],447,447,98%,1e-154,70.38,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_255838080.1?report=genbank&log$=prottop&blast_rank=29&RID=05MTD29S016"",""WP_255838080.1"")"
3 member(s) 2 organism(s),g-proteobacteria,MraY family glycosyltransferase [Microbulbifer variabilis],447,447,97%,1e-154,67.16,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_020411330.1?report=genbank&log$=prottop&blast_rank=30&RID=05MTD29S016"",""WP_020411330.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. NFX98],447,447,98%,1e-154,65.79,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_416128559.1?report=genbank&log$=prottop&blast_rank=31&RID=05MTD29S016"",""WP_416128559.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas chlororaphis],447,447,99%,1e-154,66.76,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_124311837.1?report=genbank&log$=prottop&blast_rank=32&RID=05MTD29S016"",""WP_124311837.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],447,447,99%,2e-154,67.25,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_230174449.1?report=genbank&log$=prottop&blast_rank=33&RID=05MTD29S016"",""WP_230174449.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. BJa5],446,446,98%,6e-154,68.33,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_285861171.1?report=genbank&log$=prottop&blast_rank=34&RID=05MTD29S016"",""WP_285861171.1"")"
4 member(s) 4 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. Pseusp3],445,445,98%,1e-153,67.16,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_413425567.1?report=genbank&log$=prottop&blast_rank=35&RID=05MTD29S016"",""WP_413425567.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. UBA6310],445,445,98%,1e-153,69.21,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_287029147.1?report=genbank&log$=prottop&blast_rank=36&RID=05MTD29S016"",""WP_287029147.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. 43NM1],445,445,99%,2e-153,64.72,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101209199.1?report=genbank&log$=prottop&blast_rank=37&RID=05MTD29S016"",""WP_101209199.1"")"
3 member(s) 3 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. MEJ086],444,444,96%,3e-153,69.76,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_042554006.1?report=genbank&log$=prottop&blast_rank=38&RID=05MTD29S016"",""WP_042554006.1"")"
22 member(s) 12 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],443,443,99%,5e-153,67.06,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_215008712.1?report=genbank&log$=prottop&blast_rank=39&RID=05MTD29S016"",""WP_215008712.1"")"
6 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas tolaasii],443,443,98%,6e-153,69.01,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_026083193.1?report=genbank&log$=prottop&blast_rank=40&RID=05MTD29S016"",""WP_026083193.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas putida],442,442,99%,9e-153,66.18,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274074966.1?report=genbank&log$=prottop&blast_rank=41&RID=05MTD29S016"",""WP_274074966.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas frederiksbergensis],443,443,99%,1e-152,64.93,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_123510445.1?report=genbank&log$=prottop&blast_rank=42&RID=05MTD29S016"",""WP_123510445.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: MraY family glycosyltransferase [unclassified Pseudomonas],442,442,99%,1e-152,65.50,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072340497.1?report=genbank&log$=prottop&blast_rank=43&RID=05MTD29S016"",""WP_072340497.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: MraY family glycosyltransferase [unclassified Pseudomonas],442,442,99%,1e-152,65.20,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_138968445.1?report=genbank&log$=prottop&blast_rank=44&RID=05MTD29S016"",""WP_138968445.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],442,442,99%,2e-152,64.43,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_083374719.1?report=genbank&log$=prottop&blast_rank=45&RID=05MTD29S016"",""WP_083374719.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. MPDS],441,441,98%,3e-152,65.49,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173407187.1?report=genbank&log$=prottop&blast_rank=46&RID=05MTD29S016"",""WP_173407187.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas linyingensis],441,441,99%,3e-152,71.72,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_090307219.1?report=genbank&log$=prottop&blast_rank=47&RID=05MTD29S016"",""WP_090307219.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas umsongensis],441,441,99%,5e-152,66.67,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_168757494.1?report=genbank&log$=prottop&blast_rank=48&RID=05MTD29S016"",""WP_168757494.1"")"
21 member(s) 14 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas salomonii],441,441,99%,5e-152,68.80,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236372193.1?report=genbank&log$=prottop&blast_rank=49&RID=05MTD29S016"",""WP_236372193.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas corrugata],441,441,99%,6e-152,65.79,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_310333733.1?report=genbank&log$=prottop&blast_rank=50&RID=05MTD29S016"",""WP_310333733.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Stutzerimonas nitrititolerans],441,441,99%,6e-152,68.13,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_417797197.1?report=genbank&log$=prottop&blast_rank=51&RID=05MTD29S016"",""WP_417797197.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp.],440,440,95%,1e-151,67.78,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_332509181.1?report=genbank&log$=prottop&blast_rank=52&RID=05MTD29S016"",""WP_332509181.1"")"
5 member(s) 4 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. Y39-6],440,440,98%,1e-151,68.33,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_201022038.1?report=genbank&log$=prottop&blast_rank=53&RID=05MTD29S016"",""WP_201022038.1"")"
1 member(s) 1 organism(s),b-proteobacteria,MraY family glycosyltransferase [Burkholderiaceae bacterium],440,440,99%,1e-151,73.33,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MHR5162456.1?report=genbank&log$=prottop&blast_rank=54&RID=05MTD29S016"",""MHR5162456.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [uncultured Pseudomonas sp.],440,440,99%,1e-151,68.80,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_298188098.1?report=genbank&log$=prottop&blast_rank=55&RID=05MTD29S016"",""WP_298188098.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas spelaei],439,439,98%,2e-151,68.13,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_465908012.1?report=genbank&log$=prottop&blast_rank=56&RID=05MTD29S016"",""WP_465908012.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. efr-133-TYG-5],439,439,99%,3e-151,63.95,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_285420645.1?report=genbank&log$=prottop&blast_rank=57&RID=05MTD29S016"",""WP_285420645.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas frederiksbergensis],439,439,99%,3e-151,65.22,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_074874813.1?report=genbank&log$=prottop&blast_rank=58&RID=05MTD29S016"",""WP_074874813.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas syringae],439,439,94%,3e-151,68.40,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_236531377.1?report=genbank&log$=prottop&blast_rank=59&RID=05MTD29S016"",""WP_236531377.1"")"
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],439,439,99%,4e-151,65.70,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_274132300.1?report=genbank&log$=prottop&blast_rank=60&RID=05MTD29S016"",""WP_274132300.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Stutzerimonas sp.],437,437,98%,1e-150,68.33,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_481004847.1?report=genbank&log$=prottop&blast_rank=61&RID=05MTD29S016"",""WP_481004847.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],437,437,99%,1e-150,64.93,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_087092933.1?report=genbank&log$=prottop&blast_rank=62&RID=05MTD29S016"",""WP_087092933.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas fluorescens],437,437,99%,1e-150,67.25,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150581987.1?report=genbank&log$=prottop&blast_rank=63&RID=05MTD29S016"",""WP_150581987.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MULTISPECIES: MraY family glycosyltransferase [unclassified Microbulbifer],437,437,98%,1e-150,66.37,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_353376142.1?report=genbank&log$=prottop&blast_rank=64&RID=05MTD29S016"",""WP_353376142.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. CC120222-01a],437,437,99%,1e-150,66.28,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110639723.1?report=genbank&log$=prottop&blast_rank=65&RID=05MTD29S016"",""WP_110639723.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas gessardii],437,437,98%,2e-150,65.88,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169898675.1?report=genbank&log$=prottop&blast_rank=66&RID=05MTD29S016"",""WP_169898675.1"")"
1 member(s) 1 organism(s),g-proteobacteria,glycosyltransferase family 4 protein [Pseudomonadaceae bacterium],436,436,98%,5e-150,69.21,352,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX9914733.1?report=genbank&log$=prottop&blast_rank=67&RID=05MTD29S016"",""MBX9914733.1"")"
3 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas faucium],436,436,99%,6e-150,67.35,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176514166.1?report=genbank&log$=prottop&blast_rank=68&RID=05MTD29S016"",""WP_176514166.1"")"
2 member(s) 2 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas tehranensis],436,436,96%,6e-150,70.06,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186654228.1?report=genbank&log$=prottop&blast_rank=69&RID=05MTD29S016"",""WP_186654228.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. JZ134],435,435,99%,1e-149,65.61,343,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_434153603.1?report=genbank&log$=prottop&blast_rank=70&RID=05MTD29S016"",""WP_434153603.1"")"
3 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. PDM10],434,434,96%,2e-149,68.37,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_192406956.1?report=genbank&log$=prottop&blast_rank=71&RID=05MTD29S016"",""WP_192406956.1"")"
2 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Phytopseudomonas punonensis],434,434,97%,2e-149,68.34,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_073267822.1?report=genbank&log$=prottop&blast_rank=72&RID=05MTD29S016"",""WP_073267822.1"")"
1 member(s) 1 organism(s),,MraY family glycosyltransferase [Pseudomonas sp. 210_17 TE3656],434,434,99%,2e-149,65.60,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_461530856.1?report=genbank&log$=prottop&blast_rank=73&RID=05MTD29S016"",""WP_461530856.1"")"
8 member(s) 7 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [unclassified Pseudomonas],434,434,99%,3e-149,69.30,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092345781.1?report=genbank&log$=prottop&blast_rank=74&RID=05MTD29S016"",""WP_092345781.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. JS3066],434,434,99%,3e-149,66.96,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_330115230.1?report=genbank&log$=prottop&blast_rank=75&RID=05MTD29S016"",""WP_330115230.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Azomonas macrocytogenes],434,434,99%,3e-149,66.67,340,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183165648.1?report=genbank&log$=prottop&blast_rank=76&RID=05MTD29S016"",""WP_183165648.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. X10],434,434,98%,3e-149,68.73,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_461889334.1?report=genbank&log$=prottop&blast_rank=77&RID=05MTD29S016"",""WP_461889334.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. RW3S2],434,434,99%,3e-149,66.57,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186719055.1?report=genbank&log$=prottop&blast_rank=78&RID=05MTD29S016"",""WP_186719055.1"")"
11 member(s) 8 organism(s),g-proteobacteria,MraY family glycosyltransferase [Stutzerimonas kunmingensis],434,434,99%,5e-149,71.68,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_230697757.1?report=genbank&log$=prottop&blast_rank=79&RID=05MTD29S016"",""WP_230697757.1"")"
2 member(s) 2 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. NPDC087358],433,433,98%,5e-149,66.28,336,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_404624516.1?report=genbank&log$=prottop&blast_rank=80&RID=05MTD29S016"",""WP_404624516.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. LRF_L74],433,433,95%,5e-149,69.82,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_437880304.1?report=genbank&log$=prottop&blast_rank=81&RID=05MTD29S016"",""WP_437880304.1"")"
4 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. FSL W5-0299],433,433,93%,6e-149,69.16,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077747937.1?report=genbank&log$=prottop&blast_rank=82&RID=05MTD29S016"",""WP_077747937.1"")"
1 member(s) 1 organism(s),RNA similarity group I,MULTISPECIES: MraY family glycosyltransferase [Pseudomonas],433,433,99%,6e-149,70.26,339,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_069518154.1?report=genbank&log$=prottop&blast_rank=83&RID=05MTD29S016"",""WP_069518154.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas cichorii],432,432,99%,1e-148,69.97,338,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_122316414.1?report=genbank&log$=prottop&blast_rank=84&RID=05MTD29S016"",""WP_122316414.1"")"
7 member(s) 5 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas fluorescens],432,432,99%,1e-148,65.50,344,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150799636.1?report=genbank&log$=prottop&blast_rank=85&RID=05MTD29S016"",""WP_150799636.1"")"
3 member(s) 3 organism(s),RNA similarity group I,MraY family glycosyltransferase [Pseudomonas sp. 2848],432,432,98%,2e-148,66.86,337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_111531843.1?report=genbank&log$=prottop&blast_rank=86&RID=05MTD29S016"",""WP_111531843.1"")"
3 member(s) 3 organism(s),g-proteobacteria,MraY family glycosyltransferase [Pseudomonas sp. URMO17WK12:I11],432,432,99%,2e-148,67.54,341,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_145192136.1?report=genbank&log$=prottop&blast_rank=87&RID=05MTD29S016"",""WP_145192136.1"")"
1 member(s) 1 organism(s),,MraY family glycosyltransferase [Pseudomonas sp. ASL3],432,432,98%,2e-148,67.16,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_480413554.1?report=genbank&log$=prottop&blast_rank=88&RID=05MTD29S016"",""WP_480413554.1"")"
