Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
28	TR	A0A4Z1JQS7	DUF6590 domain-containing protein OS=Botrytis elliptica OX=278938 GN=BELL_0319g00010 PE=4 SV=1	Botrytis elliptica	2023	106	19.7	35.4	0.08
29	TR	A0ABM1UJ43	Zinc finger and SCAN domain-containing protein 18 isoform X5 OS=Microtus ochrogaster OX=79684 GN=Zscan18 PE=4 SV=1	Microtus ochrogaster	686	105	20.3	40.1	0.1
30	TR	A0A4Z2CGC2	DPY30 domain-containing protein 2 OS=Takifugu bimaculatus OX=433685 GN=fugu_000305 PE=3 SV=1	Takifugu bimaculatus	341	104	20.0	35.9	0.1
31	TR	A0A9W9G2J2	Hpc2-related domain-containing protein OS=Penicillium argentinense OX=1131581 GN=N7532_001328 PE=4 SV=1	Penicillium argentinense	777	105	22.1	38.7	0.1
32	TR	A0ABM1UJ42	Zinc finger and SCAN domain-containing protein 18 isoform X4 OS=Microtus ochrogaster OX=79684 GN=Zscan18 PE=4 SV=1	Microtus ochrogaster	839	105	20.3	40.1	0.1
33	TR	A0ABM1UJ41	Zinc finger and SCAN domain-containing protein 18 isoform X3 OS=Microtus ochrogaster OX=79684 GN=Zscan18 PE=4 SV=1	Microtus ochrogaster	841	105	20.3	40.1	0.1
34	TR	A0ABM1UJ40	Zinc finger and SCAN domain-containing protein 18 isoform X2 OS=Microtus ochrogaster OX=79684 GN=Zscan18 PE=4 SV=1	Microtus ochrogaster	846	105	19.0	40.7	0.1
35	TR	A0ABM1UJ38	Zinc finger and SCAN domain-containing protein 18 isoform X1 OS=Microtus ochrogaster OX=79684 GN=Zscan18 PE=4 SV=1	Microtus ochrogaster	846	105	20.3	40.1	0.1
36	TR	J3NEG9	Uncharacterized protein OS=Oryza brachyantha OX=4533 GN=LOC102717762 PE=4 SV=1	Oryza brachyantha	261	103	27.0	42.8	0.11
37	TR	A0A9N9QIP3	Probable cytosolic iron-sulfur protein assembly protein Ciao1 OS=Ceutorhynchus assimilis OX=467358 GN=Ciao1 PE=3 SV=1	Ceutorhynchus assimilis	1697	105	22.6	36.2	0.11
38	TR	A0A8S1CYA9	BRCT domain-containing protein OS=Cloeon dipterum OX=197152 GN=CLODIP_2_CD07731 PE=3 SV=1	Cloeon dipterum	2260	105	20.8	40.3	0.11
39	TR	A0A918F3V6	non-specific serine/threonine protein kinase OS=Streptomyces pilosus OX=28893 GN=GCM10010280_62470 PE=4 SV=1	Streptomyces pilosus	564	104	34.5	44.8	0.12
40	TR	U6KGT1	Macrophage migration inhibitory factor, putative OS=Eimeria mitis OX=44415 GN=EMH_0073570 PE=4 SV=1	Eimeria mitis	616	104	18.2	37.8	0.13
41	TR	A0A101MFG9	SP-RING-type domain-containing protein OS=Penicillium freii OX=48697 GN=ACN42_g7501 PE=3 SV=1	Penicillium freii	810	104	21.2	41.2	0.13
42	TR	J3NPG7	FAR1 domain-containing protein OS=Gaeumannomyces tritici (strain R3-111a-1) OX=644352 GN=20343633 PE=4 SV=1	Gaeumannomyces tritici (strain R3-111a-1)	851	104	18.1	38.4	0.14
43	TR	D2V1P2	Erythrocyte membrane-associated giant protein antigen 332-like protein OS=Naegleria gruberi OX=5762 GN=NAEGRDRAFT_78159 PE=4 SV=1	Naegleria gruberi	1937	104	23.6	38.2	0.15
44	TR	A0A6P7RDS8	Zinc finger and SCAN domain-containing protein 18 OS=Mus caroli OX=10089 GN=Zscan18 PE=4 SV=1	Mus caroli	884	103	20.2	40.4	0.18
45	TR	U6GJ29	Uncharacterized protein OS=Eimeria praecox OX=51316 GN=EPH_0049410 PE=4 SV=1	Eimeria praecox	1179	103	19.7	37.2	0.19
46	TR	A0A8D0BMK4	protein-serine/threonine phosphatase OS=Salvator merianae OX=96440 PE=3 SV=1	Salvator merianae	1398	103	22.6	38.1	0.19
47	TR	A0A8D0BMT9	protein-serine/threonine phosphatase OS=Salvator merianae OX=96440 PE=3 SV=1	Salvator merianae	1425	103	22.6	38.1	0.19
48	TR	A0A4Z1SKZ4	Uncharacterized protein OS=Giardia muris OX=5742 GN=GMRT_13360 PE=4 SV=1	Giardia muris	2331	103	24.4	40.1	0.2
49	TR	A0A7M7R4S9	Uncharacterized protein OS=Nasonia vitripennis OX=7425 PE=4 SV=1	Nasonia vitripennis	473	102	19.0	41.0	0.21
50	TR	A0ACC3NRA1	Eukaryotic translation initiation factor 4B OS=Vermiconidia calcicola OX=1690605 GN=TIF3_1 PE=4 SV=1	Vermiconidia calcicola	586	102	22.8	39.9	0.22
51	TR	A0AAE1JVH7	Uncharacterized protein OS=Petrolisthes cinctipes OX=88211 GN=Pcinc_034516 PE=4 SV=1	Petrolisthes cinctipes	602	102	21.2	34.7	0.22
52	TR	A0A834XUT4	HMG box domain-containing protein OS=Aphidius gifuensis OX=684658 GN=HCN44_011167 PE=4 SV=1	Aphidius gifuensis	720	102	22.7	38.9	0.23
53	TR	A0A4Z1IDC0	Uncharacterized protein OS=Botryotinia narcissicola OX=278944 GN=BOTNAR_0261g00100 PE=4 SV=1	Botryotinia narcissicola	336	101	20.3	37.4	0.24
54	TR	E9PUD6	Zinc finger and SCAN domain containing 18 OS=Mus musculus OX=10090 GN=Zscan18 PE=1 SV=1	Mus musculus	809	102	20.8	38.6	0.24
55	TR	A0A9P6M6H0	Uncharacterized protein OS=Mortierella alpina OX=64518 GN=BGZ70_008773 PE=4 SV=1	Mortierella alpina	912	102	24.0	37.1	0.25
56	TR	A0AA39R4S2	LIM-domain binding protein-domain-containing protein OS=Cladonia borealis OX=184061 GN=JMJ35_003537 PE=4 SV=1	Cladonia borealis	930	102	19.4	37.4	0.25
57	TR	U6GYB5	Protein disulfide-isomerase, putative OS=Eimeria acervulina OX=5801 GN=EAH_00050350 PE=3 SV=1	Eimeria acervulina	990	102	20.6	35.3	0.25
58	TR	A0A8J5QS31	SWI3 OS=[Candida] subhashii OX=561895 GN=J8A68_004617 PE=4 SV=1	[Candida] subhashii	1030	102	24.7	42.1	0.25
59	TR	A0AAD8VBH3	Vacuolar import and degradation protein 21 OS=Colletotrichum navitas OX=681940 GN=LY79DRAFT_505271 PE=3 SV=1	Colletotrichum navitas	1723	102	22.4	36.0	0.26
60	TR	U6GHB9	Uncharacterized protein OS=Eimeria acervulina OX=5801 GN=EAH_00028840 PE=4 SV=1	Eimeria acervulina	2044	102	21.3	35.7	0.27
61	TR	A0A9P0DWT3	VWFC domain-containing protein OS=Phyllotreta striolata OX=444603 GN=PHYEVI_LOCUS11624 PE=4 SV=1	Phyllotreta striolata	2174	102	22.9	37.8	0.27
62	TR	A0A8B1N7G6	Tox-PL domain-containing protein OS=Streptomyces auratus AGR0001 OX=1160718 GN=SU9_010315 PE=4 SV=1	Streptomyces auratus AGR0001	2398	102	21.7	33.6	0.27
63	TR	A0A4Z1L500	DUF6590 domain-containing protein OS=Botrytis porri OX=87229 GN=BPOR_0023g00180 PE=4 SV=1	Botrytis porri	2540	102	19.7	37.7	0.27
64	TR	A0ABQ2TZF5	non-specific serine/threonine protein kinase OS=Streptomyces variabilis OX=67372 GN=GCM10010287_34280 PE=4 SV=1	Streptomyces variabilis	552	101	32.6	43.0	0.29
65	TR	A0ABN3XJ43	non-specific serine/threonine protein kinase OS=Streptomyces erythrogriseus OX=284027 GN=GCM10010478_62960 PE=4 SV=1	Streptomyces erythrogriseus	552	101	32.6	43.0	0.29
66	TR	A0ABP7Y9S3	non-specific serine/threonine protein kinase OS=Streptomyces tunisiensis OX=948699 GN=GCM10022285_23970 PE=4 SV=1	Streptomyces tunisiensis	552	101	32.6	43.0	0.29
67	TR	A0A9N8Z4I3	11761_t:CDS:1 OS=Dentiscutata erythropus OX=1348616 GN=DERYTH_LOCUS1545 PE=4 SV=1	Dentiscutata erythropus	631	101	20.7	40.2	0.3
68	TR	G7YAC1	Periphilin-1 C-terminal domain-containing protein OS=Clonorchis sinensis OX=79923 GN=CLF_103764 PE=4 SV=1	Clonorchis sinensis	723	101	23.6	42.9	0.31
69	TR	A0A9W7ZGW9	Uncharacterized protein (Fragment) OS=Mycoemilia scoparia OX=417184 GN=H4219_006473 PE=4 SV=1	Mycoemilia scoparia	350	100	21.6	39.4	0.32
70	TR	A0ABR0YS11	Little elongation complex subunit 2-like isoform X2 OS=Huso huso OX=61971 GN=HHUSO_G24669 PE=4 SV=1	Huso huso	963	101	23.5	40.2	0.33
71	TR	A0AAD8Q719	Glutamine repeat protein-1 OS=Colletotrichum navitas OX=681940 GN=LY79DRAFT_62990 PE=4 SV=1	Colletotrichum navitas	365	100	23.0	37.8	0.33
72	TR	A0ABR2GP19	Uncharacterized protein OS=Tritrichomonas musculus OX=1915356 GN=M9Y10_006950 PE=4 SV=1	Tritrichomonas musculus	1404	101	21.6	39.2	0.35
73	TR	A0ACC2QHT0	Uncharacterized protein OS=Mythimna loreyi OX=667449 GN=PYW08_005715 PE=4 SV=1	Mythimna loreyi	5398	101	19.7	35.8	0.37
74	TR	A0ACC3MKU2	Eukaryotic translation initiation factor 4B OS=Vermiconidia calcicola OX=1690605 GN=TIF3_2 PE=4 SV=1	Vermiconidia calcicola	586	100	22.8	39.5	0.4
75	TR	U6KF58	Acylamino-acid-releasing enzyme, putative OS=Eimeria mitis OX=44415 GN=EMH_0002910 PE=4 SV=1	Eimeria mitis	889	100	20.9	38.2	0.43
76	TR	U6G8A6	Uncharacterized protein OS=Eimeria acervulina OX=5801 GN=EAH_00056140 PE=4 SV=1	Eimeria acervulina	958	100	20.1	40.2	0.44
77	TR	A0AA38S7U0	Uncharacterized protein OS=Pleurostoma richardsiae OX=41990 GN=NKR23_g123 PE=4 SV=1	Pleurostoma richardsiae	1040	100	26.0	40.7	0.44
78	TR	U6GEI6	Uncharacterized protein OS=Eimeria praecox OX=51316 GN=EPH_0048690 PE=4 SV=1	Eimeria praecox	1063	100	18.1	44.2	0.45
79	TR	A0AAV2L2D3	Uncharacterized protein OS=Knipowitschia caucasica OX=637954 GN=KC01_LOCUS23389 PE=4 SV=1	Knipowitschia caucasica	1119	100	18.1	38.0	0.45
80	TR	A0A0D2FRY6	Uncharacterized protein OS=Cladophialophora bantiana (strain ATCC 10958 / CBS 173.52 / CDC B-1940 / NIH 8579) OX=1442370 GN=Z519_10196 PE=4 SV=1	Cladophialophora bantiana (strain ATCC 10958 / CBS 173.52 / CDC B-1940 / NIH 8579)	1218	100	18.1	34.1	0.45
81	TR	A0A9P8HYA6	Uncharacterized protein OS=Glutinoglossum americanum OX=1670608 GN=FGG08_005495 PE=4 SV=1	Glutinoglossum americanum	201	97	33.3	49.2	0.46
82	TR	A0ABM1KV19	protein-serine/threonine phosphatase OS=Gekko japonicus OX=146911 GN=SSH2 PE=3 SV=1	Gekko japonicus	1327	100	22.2	38.5	0.46
83	TR	A0ABM1KV18	protein-serine/threonine phosphatase OS=Gekko japonicus OX=146911 GN=SSH2 PE=3 SV=1	Gekko japonicus	1418	100	22.2	38.5	0.46
84	TR	A0A2C5YHD0	SANT domain-containing protein OS=Ophiocordyceps australis OX=1399860 GN=CDD81_6539 PE=4 SV=1	Ophiocordyceps australis	2315	100	20.5	38.4	0.48
85	TR	A0A642V5X6	Uncharacterized protein OS=Trichomonascus ciferrii OX=44093 GN=TRICI_002771 PE=4 SV=1	Trichomonascus ciferrii	2606	100	23.2	42.9	0.48
86	TR	A0A267DKV2	Uncharacterized protein OS=Macrostomum lignano OX=282301 GN=BOX15_Mlig006684g1 PE=4 SV=1	Macrostomum lignano	505	99	19.0	34.7	0.51
87	TR	A0A9X1Q5X7	non-specific serine/threonine protein kinase OS=Streptomyces muensis OX=1077944 GN=L0P92_30460 PE=4 SV=1	Streptomyces muensis	557	99	34.7	43.2	0.52
88	TR	A0A3Q3WF34	TIMELESS-interacting protein OS=Mola mola OX=94237 PE=3 SV=1	Mola mola	303	98	24.2	37.6	0.53
89	TR	A0A8J2MUL2	Ground-like domain-containing protein (Fragment) OS=Cercopithifilaria johnstoni OX=2874296 GN=CJOHNSTONI_LOCUS10031 PE=4 SV=1	Cercopithifilaria johnstoni	660	99	19.6	38.8	0.55
90	TR	A0A1G4J141	LAME_0C04148g1_1 OS=Lachancea meyersii CBS 8951 OX=1266667 GN=LAME_0C04148G PE=4 SV=1	Lachancea meyersii CBS 8951	669	99	25.1	38.5	0.55
91	TR	A0A9D3SDY4	Uncharacterized protein OS=Hemibagrus wyckioides OX=337641 GN=KOW79_016500 PE=4 SV=1	Hemibagrus wyckioides	235	97	17.9	35.9	0.56
92	TR	A0A3B4ZH05	Methyl-CpG-binding protein 2 OS=Stegastes partitus OX=144197 GN=mecp2 PE=4 SV=1	Stegastes partitus	974	99	22.7	35.8	0.59
93	TR	A0ABQ1ABR9	Cell surface glycoprotein 1 OS=Aspergillus udagawae OX=91492 GN=IFM53868_02312 PE=4 SV=1	Aspergillus udagawae	1184	99	22.6	33.9	0.6
94	TR	A0A8H5BEY1	WW domain-containing protein OS=Psilocybe cf. subviscida OX=2480587 GN=D9619_001154 PE=4 SV=1	Psilocybe cf. subviscida	1419	99	21.5	38.6	0.61
95	TR	A0A0C2ZVP7	Uncharacterized protein OS=Scleroderma citrinum Foug A OX=1036808 GN=SCLCIDRAFT_22726 PE=4 SV=1	Scleroderma citrinum Foug A	168	95	30.4	48.2	0.62
96	TR	U6JXW8	Uncharacterized protein OS=Eimeria mitis OX=44415 GN=EMH_0040080 PE=4 SV=1	Eimeria mitis	2429	99	19.9	37.4	0.64
97	TR	A0ABM5EQ22	Collagen alpha-1(I) chain-like OS=Pogona vitticeps OX=103695 GN=LOC110072196 PE=4 SV=1	Pogona vitticeps	489	98	23.8	33.9	0.67
98	TR	A0ABX5ZYH9	non-specific serine/threonine protein kinase OS=Streptomyces tendae OX=1932 GN=F3L20_28145 PE=4 SV=1	Streptomyces tendae	545	98	35.2	44.0	0.69
99	TR	A0A3N2Q7A5	Uncharacterized protein OS=Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11) OX=1314773 GN=SODALDRAFT_326751 PE=4 SV=1	Sodiomyces alkalinus (strain CBS 110278 / VKM F-3762 / F11)	296	97	19.9	37.7	0.69
100	TR	A0A7I8JBI7	Double-strand break repair protein OS=Spirodela intermedia OX=51605 GN=SI7747_10013949 PE=3 SV=1	Spirodela intermedia	722	98	24.7	39.8	0.74
101	TR	A0A8H4EAT9	Nuclear localization protein OS=Aspergillus fumigatiaffinis OX=340414 GN=CNMCM6805_007985 PE=4 SV=1	Aspergillus fumigatiaffinis	727	98	27.5	38.3	0.74
102	TR	A0ABR2ICJ4	Uncharacterized protein OS=Tritrichomonas musculus OX=1915356 GN=M9Y10_012434 PE=4 SV=1	Tritrichomonas musculus	769	98	20.6	41.7	0.75
103	TR	A0ABQ5X909	Ribonuclease E OS=Dyella flagellata OX=1867833 GN=rne PE=3 SV=1	Dyella flagellata	1063	98	21.8	39.4	0.79
104	TR	A0ABV1N1P3	Ribonuclease E OS=Halomonas pelophila OX=3151122 GN=rne PE=3 SV=1	Halomonas pelophila	1145	98	24.9	38.3	0.8
105	TR	A0A839ILU6	Flagellar hook-length control protein-like C-terminal domain-containing protein OS=Oceanospirillum sediminis OX=2760088 GN=H4O21_03535 PE=4 SV=1	Oceanospirillum sediminis	1201	98	25.1	40.2	0.8
106	TR	A0A4Q4SCM8	Septation protein OS=Alternaria arborescens OX=156630 GN=AA0113_g4524 PE=4 SV=1	Alternaria arborescens	1350	98	21.3	35.5	0.82
107	TR	A0A9P6B8I6	Enhancer of mRNA-decapping protein 4 OS=Hydnum rufescens UP504 OX=1448309 GN=BS47DRAFT_168943 PE=3 SV=1	Hydnum rufescens UP504	1424	98	30.6	43.9	0.82
108	TR	A0A4Q1QSQ1	Tox-PL domain-containing protein (Fragment) OS=Streptomyces sioyaensis OX=67364 GN=EST54_16560 PE=4 SV=1	Streptomyces sioyaensis	1530	98	21.0	33.8	0.83
109	TR	A0A9R1SXT3	Chromodomain-helicase-DNA-binding protein 7 isoform X5 OS=Fopius arisanus OX=64838 GN=kis PE=4 SV=1	Fopius arisanus	4432	98	23.9	40.2	0.87
110	TR	A0A9R1SYF4	Uncharacterized protein kis isoform X4 OS=Fopius arisanus OX=64838 GN=kis PE=4 SV=1	Fopius arisanus	4472	98	23.9	40.2	0.87
111	TR	A0A9R1SY86	Chromodomain-helicase-DNA-binding protein 7 isoform X3 OS=Fopius arisanus OX=64838 GN=kis PE=4 SV=1	Fopius arisanus	4496	98	23.9	40.2	0.87
112	TR	A0A9R1TX60	Chromodomain-helicase-DNA-binding protein 7 isoform X2 OS=Fopius arisanus OX=64838 GN=kis PE=4 SV=1	Fopius arisanus	4497	98	23.9	40.2	0.87
113	TR	A0A9R1TWR3	Chromodomain-helicase-DNA-binding protein 7 isoform X1 OS=Fopius arisanus OX=64838 GN=kis PE=4 SV=1	Fopius arisanus	4499	98	23.9	40.2	0.87
114	TR	A0ABW6GLP7	Toxin glutamine deamidase domain-containing protein OS=Kitasatospora phosalacinea OX=2065 GN=ACFW6T_16990 PE=4 SV=1	Kitasatospora phosalacinea	5080	98	24.7	34.6	0.88
115	TR	A0ABQ7GDU9	GATA-type domain-containing protein OS=Dunaliella salina OX=3046 GN=DUNSADRAFT_11237 PE=4 SV=1	Dunaliella salina	5427	98	22.5	37.3	0.88
116	TR	A0A2K6V5B9	Midasin OS=Saimiri boliviensis boliviensis OX=39432 GN=MDN1 PE=3 SV=1	Saimiri boliviensis boliviensis	5589	98	23.8	36.8	0.88
117	TR	A0A7E4W3L9	Basic proline-rich protein OS=Panagrellus redivivus OX=6233 PE=4 SV=1	Panagrellus redivivus	518	97	28.4	45.7	0.91
118	TR	A0ABP6R9J5	non-specific serine/threonine protein kinase OS=Streptomyces labedae OX=285569 GN=GCM10010469_68710 PE=4 SV=1	Streptomyces labedae	552	97	32.6	41.9	0.93
119	TR	F2TZN6	Uncharacterized protein OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) OX=946362 GN=PTSG_02028 PE=4 SV=1	Salpingoeca rosetta (strain ATCC 50818 / BSB-021)	719	97	21.8	39.4	0.99
120	TR	U6KDB2	Uncharacterized protein OS=Eimeria mitis OX=44415 GN=EMH_0019390 PE=4 SV=1	Eimeria mitis	780	97	20.4	36.4	1.0
121	TR	A0A0R1DXK4	Uncharacterized protein, isoform C OS=Drosophila yakuba OX=7245 GN=Dyak\GE13899 PE=4 SV=1	Drosophila yakuba	806	97	18.8	34.5	1.0
122	TR	A0AAJ7W6E8	Chromatin modification-related protein eaf-1 isoform X2 OS=Cephus cinctus OX=211228 GN=LOC107272504 PE=4 SV=1	Cephus cinctus	823	97	22.0	40.9	1.0
123	TR	A0AAJ7CAH1	Chromatin modification-related protein eaf-1 isoform X1 OS=Cephus cinctus OX=211228 GN=LOC107272504 PE=4 SV=1	Cephus cinctus	826	97	22.0	40.9	1.0
124	TR	U6LIW8	Sybindin-like family domain-containing protein, putative OS=Eimeria brunetti OX=51314 GN=EBH_0078820 PE=4 SV=1	Eimeria brunetti	953	97	21.2	39.6	1.0
125	TR	A0ABR0YW96	Little elongation complex subunit 2-like isoform X2 OS=Huso huso OX=61971 GN=HHUSO_G23212 PE=4 SV=1	Huso huso	964	97	26.1	41.7	1.0
126	TR	A0ABP0L002	Midasin (Dynein-related AAA-ATPase mdn1) (MIDAS-containing protein) (Fragment) OS=Durusdinium trenchii OX=1381693 GN=SCF082_LOCUS19865 PE=4 SV=1	Durusdinium trenchii	1065	97	25.5	42.0	1.1
127	TR	A0A0R1DXJ1	Uncharacterized protein, isoform B OS=Drosophila yakuba OX=7245 GN=Dyak\GE13899 PE=4 SV=1	Drosophila yakuba	1273	97	18.8	34.5	1.1
128	TR	B4P4B5	Uncharacterized protein, isoform A OS=Drosophila yakuba OX=7245 GN=Dyak\GE13899 PE=4 SV=1	Drosophila yakuba	1273	97	18.8	34.5	1.1
129	TR	A0A0R1DVU8	Uncharacterized protein, isoform D OS=Drosophila yakuba OX=7245 GN=Dyak\GE13899 PE=4 SV=1	Drosophila yakuba	1274	97	18.8	34.5	1.1
130	TR	A0AAV6WI97	HMA domain-containing protein OS=Buddleja alternifolia OX=168488 GN=BUALT_Bualt14G0120100 PE=4 SV=1	Buddleja alternifolia	252	95	26.7	34.2	1.1
131	TR	A0A8T2PRB6	Uncharacterized protein OS=Albula glossodonta OX=121402 GN=JZ751_012003 PE=4 SV=1	Albula glossodonta	1850	97	24.3	39.1	1.1
132	TR	A0A8K0WTZ3	Outer kinetochore protein DAD1 OS=Stachybotrys elegans OX=80388 GN=B0I35DRAFT_428555 PE=4 SV=1	Stachybotrys elegans	2178	97	23.8	35.5	1.1
133	TR	A0A914EJA3	Uncharacterized protein OS=Acrobeloides nanus OX=290746 PE=4 SV=1	Acrobeloides nanus	427	96	22.9	39.9	1.1
134	TR	B4NB68	Rab3 interacting molecule OS=Drosophila willistoni OX=7260 GN=Dwil\GK11837 PE=4 SV=2	Drosophila willistoni	2618	97	22.0	36.6	1.1
135	TR	A0AAX6RG89	Midasin OS=Heterocephalus glaber OX=10181 GN=Mdn1 PE=3 SV=1	Heterocephalus glaber	5596	97	22.5	36.8	1.2
136	TR	A0AAX6RLX3	Midasin OS=Heterocephalus glaber OX=10181 GN=Mdn1 PE=3 SV=1	Heterocephalus glaber	5597	97	22.5	36.8	1.2
137	TR	A0AAX6R411	Midasin OS=Heterocephalus glaber OX=10181 GN=Mdn1 PE=3 SV=1	Heterocephalus glaber	5597	97	22.5	36.8	1.2
138	TR	A0AAX6RIW2	Midasin OS=Heterocephalus glaber OX=10181 GN=Mdn1 PE=3 SV=1	Heterocephalus glaber	5598	97	22.5	36.8	1.2
139	TR	A0ABQ0ZUL3	SAP domain-containing protein OS=Aspergillus lentulus OX=293939 GN=IFM60648_01357 PE=4 SV=1	Aspergillus lentulus	501	96	20.1	39.3	1.2
140	TR	A0AAN9VU29	Accessory gland protein OS=Gryllus longicercus OX=2509291 GN=R5R35_005556 PE=4 SV=1	Gryllus longicercus	515	96	20.8	40.4	1.2
141	TR	A0ABY6PWD0	non-specific serine/threonine protein kinase OS=Streptomyces drozdowiczii OX=202862 GN=NEH16_19765 PE=4 SV=1	Streptomyces drozdowiczii	556	96	33.3	49.4	1.2
142	TR	U6JZG8	Microneme protein, putative OS=Eimeria mitis OX=44415 GN=EMH_0005640 PE=4 SV=1	Eimeria mitis	809	96	19.8	35.3	1.3
143	TR	A0E8P8	Uncharacterized protein OS=Paramecium tetraurelia OX=5888 GN=GSPATT00024394001 PE=4 SV=1	Paramecium tetraurelia	902	96	23.8	39.2	1.4
