Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
11	TR	A0ABT4YB93	Glycosyltransferase family 4 protein OS=Metapseudomonas resinovorans OX=53412 GN=NNO07_24170 PE=4 SV=1	Metapseudomonas resinovorans	336	1249	70.5	80.7	4.6e-170
12	TR	A0A6N1CE73	Glycosyltransferase family 4 protein OS=Pseudomonas bijieensis OX=2681983 GN=GN234_09850 PE=4 SV=1	Pseudomonas bijieensis	338	1246	69.5	80.4	1.4e-169
13	TR	A0ABX4QQG0	Fuc2NAc and GlcNAc transferase OS=Pseudomonas tolaasii NCPPB 2192 OX=564423 GN=ATI14_6123 PE=4 SV=1	Pseudomonas tolaasii NCPPB 2192	338	1245	68.9	80.4	2e-169
14	TR	A0ABY8N0D5	Glycosyltransferase family 4 protein OS=Pseudomonas migulae OX=78543 GN=MOQ58_08815 PE=4 SV=1	Pseudomonas migulae	337	1241	68.1	79.5	7.9e-169
15	TR	A0A4V0YKK1	Glycosyl transferase OS=Pseudomonas arsenicoxydans OX=702115 GN=CUN61_27305 PE=4 SV=1	Pseudomonas arsenicoxydans	336	1240	68.9	79.8	1.1e-168
16	TR	A0A1B1YT15	Glycosyl transferase OS=Immundisolibacter cernigliae OX=1810504 GN=PG2T_06265 PE=4 SV=1	Immundisolibacter cernigliae	346	1240	68.1	79.8	1.5e-168
17	TR	A0A1H0JSL7	Fuc2NAc and GlcNAc transferase OS=Pseudomonas reinekei OX=395598 GN=BVK86_27375 PE=4 SV=1	Pseudomonas reinekei	336	1238	68.9	80.4	2.2e-168
18	TR	A0AAD1FEU3	Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase OS=Metapseudomonas furukawaii OX=1149133 GN=KF707C_17360 PE=4 SV=1	Metapseudomonas furukawaii	336	1237	69.2	79.8	3.1e-168
19	TR	A0A9X0Y7C5	Glycosyltransferase family 4 protein OS=Pseudomonas lactucae OX=2813360 GN=JWR99_02390 PE=4 SV=1	Pseudomonas lactucae	338	1234	69.3	79.8	9.5e-168
20	TR	A0A2T5PBN0	Glycosyl transferase OS=Pseudomonas mangrovi OX=2161748 GN=DBO85_06255 PE=4 SV=1	Pseudomonas mangrovi	341	1232	68.5	81.8	2.1e-167
21	TR	A0A385Z5D5	Glycosyltransferase family 4 protein OS=Pseudomonas cavernae OX=2320867 GN=D3880_13415 PE=4 SV=1	Pseudomonas cavernae	336	1231	69.3	80.4	2.5e-167
22	TR	A0ABS0G4H4	Glycosyltransferase family 4 protein OS=Pseudomonas pudica OX=272772 GN=IRZ77_18205 PE=4 SV=1	Pseudomonas pudica	337	1229	69.5	79.8	5.3e-167
23	TR	A0ABY1B9Q6	Fuc2NAc and GlcNAc transferase OS=Pseudomonas cuatrocienegasensis OX=543360 GN=SAMN05216600_10522 PE=4 SV=1	Pseudomonas cuatrocienegasensis	339	1229	70.8	78.8	5.7e-167
24	TR	A0ABY0Z7K3	Fuc2NAc and GlcNAc transferase OS=Pseudomonas kilonensis OX=132476 GN=SAMN04490188_3702 PE=4 SV=1	Pseudomonas kilonensis	337	1227	69.6	80.2	1.1e-166
25	TR	A0A2T5PLM1	Glycosyl transferase OS=Ectopseudomonas oleovorans OX=301 GN=DBO86_13525 PE=4 SV=1	Ectopseudomonas oleovorans	341	1226	67.2	79.5	1.7e-166
26	TR	A0ABM7EJ04	Glycosyltransferase WbpL OS=Pseudomonas putida NBRC 14164 OX=1211579 GN=wbpL PE=4 SV=1	Pseudomonas putida NBRC 14164	337	1225	69.2	79.2	2.1e-166
27	TR	A0A1M7M3X9	Fuc2NAc and GlcNAc transferase OS=Phytopseudomonas punonensis OX=1220495 GN=SAMN05216288_4447 PE=4 SV=1	Phytopseudomonas punonensis	338	1224	68.8	81.0	3.2e-166
28	TR	A0A418X9S4	Glycosyltransferase family 4 protein OS=Pseudomonas cavernicola OX=2320866 GN=D3879_25855 PE=4 SV=1	Pseudomonas cavernicola	336	1220	67.7	79.2	1.2e-165
29	TR	A0A1I3L1L5	Fuc2NAc and GlcNAc transferase OS=Phytopseudomonas argentinensis OX=289370 GN=SAMN05216602_2830 PE=4 SV=1	Phytopseudomonas argentinensis	338	1220	69.6	80.2	1.3e-165
30	TR	A0ABT9CM16	Glycosyltransferase family 4 protein OS=Pseudomonas serbiensis OX=3064350 GN=Q6A51_07050 PE=4 SV=1	Pseudomonas serbiensis	338	1219	69.6	80.2	1.8e-165
31	TR	A0ABS0VMD5	Glycosyltransferase family 4 protein OS=Pseudomonas veronii OX=76761 GN=YA0849_20150 PE=4 SV=1	Pseudomonas veronii	338	1218	68.0	79.5	2.6e-165
32	TR	A0ABT3F5J5	Glycosyltransferase family 4 protein OS=Pseudomonas agronomica OX=2979328 GN=OC610_07860 PE=4 SV=1	Pseudomonas agronomica	338	1218	69.7	79.9	2.6e-165
33	TR	A0ABS6P229	Glycosyltransferase family 4 protein OS=Pseudomonas azadiae OX=2843612 GN=KVG91_18185 PE=4 SV=1	Pseudomonas azadiae	341	1214	67.4	78.9	1.2e-164
34	TR	A0A839SZA8	Fuc2NAc and GlcNAc transferase OS=Azomonas macrocytogenes OX=69962 GN=FHR87_001054 PE=4 SV=1	Azomonas macrocytogenes	340	1213	66.4	79.4	1.6e-164
35	TR	A0ABY9FIX9	Glycosyltransferase family 4 protein OS=Pseudomonas beijingensis OX=2954101 GN=PSH92_08355 PE=4 SV=1	Pseudomonas beijingensis	338	1212	67.2	78.9	2.1e-164
36	TR	A0ABR6UMV9	Glycosyltransferase family 4 protein OS=Pseudomonas tehranensis OX=2745502 GN=HU811_04315 PE=4 SV=1	Pseudomonas tehranensis	339	1210	69.7	80.3	4.4e-164
37	TR	A0A7Z0BN75	Fuc2NAc and GlcNAc transferase OS=Phytopseudomonas flavescens OX=29435 GN=FHR27_001907 PE=4 SV=1	Phytopseudomonas flavescens	338	1208	68.9	79.3	8.6e-164
38	TR	A0ABX7K1J5	Glycosyltransferase family 4 protein OS=Pseudomonas hygromyciniae OX=2812000 GN=JTY93_09030 PE=4 SV=1	Pseudomonas hygromyciniae	346	1208	67.0	77.7	1.1e-163
39	TR	A0ABY9EGN2	Glycosyltransferase family 4 protein OS=Microbulbifer spongiae OX=2944933 GN=M8T91_08395 PE=4 SV=1	Microbulbifer spongiae	341	1205	64.8	78.1	2.7e-163
40	TR	A0ABX8HPB1	Glycosyltransferase family 4 protein OS=Pseudomonas lijiangensis OX=2995658 GN=KQP88_17735 PE=4 SV=1	Pseudomonas lijiangensis	338	1204	68.4	79.4	3.5e-163
41	TR	A0A1H2MHK4	Glycosyltransferase family 4 protein OS=Pseudomonas vancouverensis OX=95300 GN=EIY72_13550 PE=4 SV=1	Pseudomonas vancouverensis	342	1203	66.1	80.4	5.7e-163
42	TR	A0ABY7RCR3	Glycosyltransferase family 4 protein OS=Pseudomonas capeferrum OX=1495066 GN=PMC74_06665 PE=4 SV=1	Pseudomonas capeferrum	337	1202	67.5	79.8	6.8e-163
43	TR	A0ACC5UUY6	Glycosyltransferase family 4 protein OS=Pseudomonas kurunegalensis OX=485880 GN=HU758_023855 PE=4 SV=1	Pseudomonas kurunegalensis	337	1202	67.2	78.9	6.8e-163
44	TR	A0ABT3C1S1	Glycosyltransferase family 4 protein OS=Pseudomonas capsici OX=2810614 GN=OH718_20715 PE=4 SV=1	Pseudomonas capsici	338	1201	68.4	79.4	9.9e-163
45	TR	A0ABT5NJN0	Glycosyltransferase family 4 protein OS=Pseudomonas shahriarae OX=2745512 GN=M5G21_26145 PE=4 SV=1	Pseudomonas shahriarae	346	1201	66.8	78.3	1.3e-162
46	TR	A0A1H0W0Q3	Fuc2NAc and GlcNAc transferase OS=Pseudomonas extremorientalis OX=169669 GN=BFN10_07200 PE=4 SV=1	Pseudomonas extremorientalis	340	1200	64.7	77.8	1.5e-162
47	TR	A0A239HD40	Fuc2NAc and GlcNAc transferase OS=Pseudomonas japonica OX=256466 GN=SAMN05444352_11544 PE=4 SV=1	Pseudomonas japonica	336	1199	69.0	79.1	1.9e-162
48	TR	A0ABU7HBN5	Glycosyltransferase family 4 protein OS=Pseudomonas carassii OX=3115855 GN=V0R62_13805 PE=4 SV=1	Pseudomonas carassii	337	1198	67.2	78.9	2.7e-162
49	TR	A0ABY0V9B9	Fuc2NAc and GlcNAc transferase OS=Pseudomonas mandelii OX=75612 GN=SAMN04489801_0239 PE=4 SV=1	Pseudomonas mandelii	368	1201	64.2	78.5	2.9e-162
50	TR	A0AAQ1P7N7	Glycosyl transferase OS=Pseudomonas inefficax OX=2078786 GN=JV551A3_V1_740081 PE=4 SV=1	Pseudomonas inefficax	339	1198	65.9	79.3	2.9e-162
51	TR	A0ABY8PIQ1	Glycosyltransferase family 4 protein OS=Pseudomonas viciae OX=2505979 GN=QCD61_08380 PE=4 SV=1	Pseudomonas viciae	338	1197	66.8	79.0	4e-162
52	TR	A0ABW7M919	Glycosyltransferase family 4 protein OS=Ectopseudomonas khazarica OX=2502979 GN=ACEVAQ_04125 PE=4 SV=1	Ectopseudomonas khazarica	338	1197	66.9	79.4	4e-162
53	TR	A0ABU5BXM1	Glycosyltransferase family 4 protein OS=Halopseudomonas formosensis OX=1002526 GN=RED13_001965 PE=4 SV=1	Halopseudomonas formosensis	338	1196	67.4	78.9	5.7e-162
54	TR	A0A1H3GC77	Fuc2NAc and GlcNAc transferase OS=Pseudomonas kuykendallii OX=1007099 GN=SAMN05216287_4314 PE=4 SV=1	Pseudomonas kuykendallii	336	1195	68.4	79.8	7.6e-162
55	TR	A0ABY9QNV9	Glycosyltransferase family 4 protein OS=Pseudomonas entomophila OX=312306 GN=RAH46_21180 PE=4 SV=1	Pseudomonas entomophila	336	1194	68.8	79.2	1.1e-161
56	TR	A0ABT9BSD3	Glycosyltransferase family 4 protein OS=Pseudomonas citrulli OX=3064347 GN=Q6A48_00985 PE=4 SV=1	Pseudomonas citrulli	338	1194	66.8	77.3	1.2e-161
57	TR	A0ABY9SV73	Glycosyltransferase family 4 protein OS=Pseudomonas shirazica OX=1940636 GN=QR297_05830 PE=4 SV=1	Pseudomonas shirazica	336	1193	66.6	78.6	1.5e-161
58	TR	A0A1Y3P6A7	Glycosyl transferase OS=Pseudomonas caspiana OX=1451454 GN=AUC60_18515 PE=4 SV=1	Pseudomonas caspiana	344	1193	68.6	77.5	2e-161
59	TR	A0ABT9JZU1	Glycosyltransferase family 4 protein OS=Pseudomonas iranensis OX=2745503 GN=RAM78_06045 PE=4 SV=1	Pseudomonas iranensis	338	1192	67.9	79.0	2.3e-161
60	TR	A0ABS5XC15	Glycosyltransferase family 4 protein OS=Metapseudomonas boanensis OX=2822138 GN=J7302_00835 PE=4 SV=1	Metapseudomonas boanensis	339	1191	67.7	78.3	3.4e-161
61	TR	A0ABR7AWD2	Glycosyltransferase family 4 protein OS=Pseudomonas folii OX=2762593 GN=H8S59_05570 PE=4 SV=1	Pseudomonas folii	344	1191	69.5	77.7	4.1e-161
62	TR	A0A0J6H6N8	Fuc2NAc and GlcNAc transferase OS=Pseudomonas lini OX=163011 GN=F7R14_03660 PE=4 SV=1	Pseudomonas lini	340	1189	63.4	78.2	7.1e-161
63	TR	A0A917Q3N8	Glycosyltransferase WbpL OS=Pseudomonas matsuisoli OX=1515666 GN=wbpL PE=4 SV=1	Pseudomonas matsuisoli	341	1187	66.9	78.9	1.5e-160
64	TR	A0ABN5G2E5	Glycosyl transferase OS=Pseudomonas ogarae (strain DSM 112162 / CECT 30235 / F113) OX=1114970 GN=C1C98_08810 PE=4 SV=1	Pseudomonas ogarae (strain DSM 112162 / CECT 30235 / F113)	342	1187	65.7	77.7	1.5e-160
65	TR	A0A176NHG5	Glycosyl transferase OS=Pseudomonas thivervalensis OX=86265 GN=CEQ51_11330 PE=4 SV=1	Pseudomonas thivervalensis	338	1186	65.8	77.8	1.9e-160
66	TR	A0ACC7PDU2	Glycosyltransferase family 4 protein OS=Pseudomonas imrae OX=2992837 GN=OOJ96_09835 PE=4 SV=1	Pseudomonas imrae	340	1186	66.2	78.4	2e-160
67	TR	A0ABX6SCS3	Glycosyltransferase family 4 protein OS=Pseudomonas sediminis OX=1691904 GN=HNQ25_14915 PE=4 SV=1	Pseudomonas sediminis	338	1185	65.7	79.4	2.7e-160
68	TR	A0ABT5PHX6	Glycosyltransferase family 4 protein OS=Pseudomonas aphyarum OX=2942629 GN=M5G18_02380 PE=4 SV=1	Pseudomonas aphyarum	341	1185	66.6	78.5	3e-160
69	TR	A0ABU1CNG4	Glycosyltransferase family 4 protein OS=Pseudomonas yamanorum OX=515393 GN=RCO22_07440 PE=4 SV=1	Pseudomonas yamanorum	341	1185	66.1	78.7	3e-160
70	TR	A0A5N7KR82	Glycosyltransferase family 4 protein OS=Pseudomonas kitaguniensis OX=2607908 GN=F0169_20085 PE=4 SV=1	Pseudomonas kitaguniensis	339	1184	65.2	77.5	4e-160
71	TR	A0A1H5G9P6	Fuc2NAc and GlcNAc transferase OS=Pseudomonas palleroniana OX=191390 GN=C9383_02040 PE=4 SV=1	Pseudomonas palleroniana	341	1183	66.5	77.8	6e-160
72	TR	A0ABX2QMR6	Glycosyltransferase family 4 protein OS=Pseudomonas reactans OX=117680 GN=HX871_01525 PE=4 SV=1	Pseudomonas reactans	337	1182	66.4	78.7	7.4e-160
73	TR	A0ABU8R9F4	Glycosyltransferase family 4 protein OS=Pseudomonas kermanshahensis OX=2745482 GN=V7V80_17700 PE=4 SV=1	Pseudomonas kermanshahensis	337	1181	64.9	78.7	1.1e-159
74	TR	A0ABY5EJZ9	Glycosyltransferase family 4 protein OS=Pseudomonas nunensis OX=2961896 GN=NK667_04065 PE=4 SV=1	Pseudomonas nunensis	342	1181	66.1	78.9	1.3e-159
75	TR	A0ACC6L6L6	Glycosyltransferase family 4 protein OS=Pseudomonas allii OX=2740531 GN=RJC98_02550 PE=4 SV=1	Pseudomonas allii	337	1180	67.0	78.9	1.5e-159
76	TR	A0ACC7LTH6	Glycosyltransferase family 4 protein OS=Pseudomonas caricapapayae OX=46678 GN=ACIKP7_09620 PE=4 SV=1	Pseudomonas caricapapayae	344	1179	65.4	77.7	2.7e-159
77	TR	A0A239A7D2	Fuc2NAc and GlcNAc transferase OS=Pseudomonas segetis OX=298908 GN=SAMN05216255_0919 PE=4 SV=1	Pseudomonas segetis	340	1176	65.4	77.6	6.8e-159
78	TR	A0ABS6QY56	Glycosyltransferase family 4 protein OS=Pseudomonas azerbaijanoccidentalis OX=2842347 GN=KVG88_27745 PE=4 SV=1	Pseudomonas azerbaijanoccidentalis	342	1176	63.7	77.2	7.3e-159
79	TR	A0ABU6BQ07	Glycosyltransferase family 4 protein OS=Pseudomonas paracarnis OX=2750625 GN=LLW09_05130 PE=4 SV=1	Pseudomonas paracarnis	337	1175	65.7	76.5	8.6e-159
80	TR	A0ABX4DXK7	Glycosyl transferase OS=Pseudomonas umsongensis OX=198618 GN=PSUM_15515 PE=4 SV=1	Pseudomonas umsongensis	347	1176	67.2	77.5	8.7e-159
81	TR	A0ABW8E2D7	Glycosyltransferase family 4 protein OS=Pseudomonas sivasensis OX=1880678 GN=ACIOWJ_11835 PE=4 SV=1	Pseudomonas sivasensis	341	1175	65.1	78.3	9.9e-159
82	TR	A0ABM7RMK8	Glycosyltransferase family 4 protein OS=Pseudomonas izuensis OX=2684212 GN=LAB08_R15180 PE=4 SV=1	Pseudomonas izuensis	342	1175	63.2	78.9	1e-158
83	TR	A0ABS6PA74	Glycosyltransferase family 4 protein OS=Pseudomonas ekonensis OX=2842353 GN=KVG96_05395 PE=4 SV=1	Pseudomonas ekonensis	342	1175	66.7	76.2	1e-158
84	TR	A0ABS3AER2	Glycosyltransferase family 4 protein OS=Pseudomonas gregormendelii OX=1628277 GN=IMW75_10225 PE=4 SV=1	Pseudomonas gregormendelii	344	1175	62.7	79.0	1.1e-158
85	TR	A0ABZ1AAI5	Glycosyltransferase family 4 protein OS=Pseudomonas canadensis OX=915099 GN=SPL95_08925 PE=4 SV=1	Pseudomonas canadensis	337	1174	66.1	78.1	1.2e-158
86	TR	A0ABX1Q2V9	Glycosyl transferase OS=Aromatoleum toluvorans OX=92002 GN=GPA22_20165 PE=4 SV=1	Aromatoleum toluvorans	340	1174	66.1	78.1	1.4e-158
87	TR	A0ABS9ZKM4	Glycosyl transferase OS=Pseudomonas maioricensis OX=1766623 GN=AUC61_12675 PE=4 SV=1	Pseudomonas maioricensis	336	1173	64.2	76.5	1.7e-158
88	TR	A0A1G8BPS4	Fuc2NAc and GlcNAc transferase OS=Pseudomonas abietaniphila OX=89065 GN=SAMN05216605_10635 PE=4 SV=1	Pseudomonas abietaniphila	338	1173	65.5	77.2	1.8e-158
89	TR	A0ABT3YW41	Glycosyltransferase family 4 protein OS=Pseudomonas monsensis OX=2745509 GN=NQF78_15460 PE=4 SV=1	Pseudomonas monsensis	338	1173	68.1	78.6	1.8e-158
90	TR	A0ABY0U6Q8	Fuc2NAc and GlcNAc transferase OS=Pseudomonas cedrina OX=651740 GN=SAMN04490182_0877 PE=4 SV=1	Pseudomonas cedrina	341	1173	65.7	77.4	2e-158
91	TR	A0ABY9G6G8	Glycosyltransferase family 4 protein OS=Pseudomonas hefeiensis OX=2738125 GN=PSH57_20375 PE=4 SV=1	Pseudomonas hefeiensis	340	1170	66.2	77.6	5.5e-158
92	TR	A0A2T4FS74	Glycosyl transferase OS=Pseudomonas aylmerensis OX=1869229 GN=BBG20_07465 PE=4 SV=1	Pseudomonas aylmerensis	345	1170	65.8	75.7	6.6e-158
93	TR	A0A6I5RNP1	Glycosyltransferase family 4 protein OS=Pseudomonas laurentiana OX=2364649 GN=G3O07_04900 PE=4 SV=1	Pseudomonas laurentiana	336	1169	64.9	77.9	6.8e-158
94	TR	A0A380SX29	Phospho-N-acetylmuramoyl-pentapeptide-transferas e OS=Pseudomonas wadenswilerensis OX=1785161 GN=mraY PE=4 SV=1	Pseudomonas wadenswilerensis	337	1169	63.5	77.5	7e-158
95	TR	A0ABS9G8I7	Glycosyl transferase OS=Pseudomonas simiae OX=321846 GN=GIW13_16200 PE=4 SV=1	Pseudomonas simiae	337	1168	66.1	78.4	1e-157
96	TR	A0ABX4GLI3	Glycosyl transferase OS=Pseudomonas lundensis OX=86185 GN=CJF38_11130 PE=4 SV=1	Pseudomonas lundensis	339	1166	64.0	77.0	2.2e-157
97	TR	A0A5C5Q8K2	Fuc2NAc and GlcNAc transferase OS=Pseudomonas extremaustralis OX=359110 GN=FIV36_24135 PE=4 SV=1	Pseudomonas extremaustralis	341	1166	64.3	77.3	2.3e-157
98	TR	A0ABX8Q9C1	Glycosyltransferase family 4 protein OS=Pseudomonas canavaninivorans OX=2842348 GN=KSS97_20630 PE=4 SV=1	Pseudomonas canavaninivorans	337	1164	65.5	76.7	4.1e-157
99	TR	A0A0M9GEH7	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase OS=Pseudomonas asplenii OX=53407 GN=PF66_04689 PE=4 SV=1	Pseudomonas asplenii	338	1164	66.4	76.7	4.2e-157
100	TR	A0A1X0N1Y0	Glycosyl transferase OS=Pseudomonas floridensis OX=1958950 GN=BZK31_19995 PE=4 SV=1	Pseudomonas floridensis	338	1164	65.8	79.9	4.2e-157
101	TR	A0A1H2FVQ9	Fuc2NAc and GlcNAc transferase OS=Pseudomonas pohangensis OX=364197 GN=SAMN05216296_1851 PE=4 SV=1	Pseudomonas pohangensis	345	1164	65.8	78.8	5.4e-157
102	TR	A0A7X1GHG1	Glycosyltransferase family 4 protein OS=Pseudomonas kielensis OX=2762577 GN=H7995_22435 PE=4 SV=1	Pseudomonas kielensis	339	1163	64.3	76.0	6.2e-157
103	TR	A0ABX8PU54	Glycosyltransferase family 4 protein OS=Pseudomonas tensinigenes OX=2745511 GN=HU718_021805 PE=4 SV=1	Pseudomonas tensinigenes	342	1163	65.5	75.1	6.9e-157
104	TR	A0A1H9QYU7	Fuc2NAc and GlcNAc transferase OS=Halopseudomonas bauzanensis OX=653930 GN=SAMN04487855_0409 PE=4 SV=1	Halopseudomonas bauzanensis	338	1162	66.3	77.1	8.5e-157
105	TR	A0ABW7DF04	Glycosyltransferase family 4 protein OS=Pseudomonas retamae OX=702110 GN=ACGSLL_17665 PE=4 SV=1	Pseudomonas retamae	343	1161	65.2	78.1	1.4e-156
106	TR	A0ABT0EDN2	Glycosyltransferase family 4 protein OS=Pseudomonas emilianonis OX=2915812 GN=L9Z73_05465 PE=4 SV=1	Pseudomonas emilianonis	338	1160	64.2	78.0	1.7e-156
107	TR	A0ABS6QGN1	Glycosyltransferase family 4 protein OS=Pseudomonas oryzicola OX=485876 GN=HU760_022545 PE=4 SV=1	Pseudomonas oryzicola	334	1158	63.4	77.6	3e-156
108	TR	A0AAW5ALS2	Glycosyl transferase OS=Pseudomonas proteolytica OX=219574 GN=GIW75_27655 PE=4 SV=1	Pseudomonas proteolytica	336	1158	61.9	77.1	3.2e-156
109	TR	A0ABY5CB57	Glycosyltransferase family 4 protein OS=Pseudomonas siliginis OX=2842346 GN=NF677_18700 PE=4 SV=1	Pseudomonas siliginis	337	1158	65.9	77.0	3.3e-156
110	TR	A0A1H5IRP9	Fuc2NAc and GlcNAc transferase OS=Pseudomonas anguilliseptica OX=53406 GN=SAMN05421553_4774 PE=4 SV=1	Pseudomonas anguilliseptica	338	1158	68.8	78.4	3.4e-156
111	TR	A0A923JHT9	Glycosyltransferase family 4 protein OS=Pseudomonas zanjanensis OX=2745496 GN=HU715_003425 PE=4 SV=1	Pseudomonas zanjanensis	338	1157	66.1	76.9	4.9e-156
112	TR	A0A191YXK2	Glycosyl transferase OS=Pseudomonas silesiensis OX=1853130 GN=PMA3_20835 PE=4 SV=1	Pseudomonas silesiensis	339	1157	62.8	76.5	5.1e-156
113	TR	A0A9X2XGE8	Glycosyltransferase family 4 protein OS=Pseudomonas koreensis OX=198620 GN=OC940_12855 PE=4 SV=1	Pseudomonas koreensis	342	1157	62.3	76.2	5.6e-156
114	TR	A0ABS9FBS1	Glycosyl transferase OS=Pseudomonas gessardii OX=78544 GN=GIW56_18535 PE=4 SV=1	Pseudomonas gessardii	337	1156	65.8	76.7	6.7e-156
115	TR	A0ABX6HFT4	Glycosyl transferase OS=Pseudomonas asturiensis OX=1190415 GN=N015_19220 PE=4 SV=1	Pseudomonas asturiensis	338	1156	65.1	79.1	6.9e-156
116	TR	A0A8H9YTW2	Glycosyltransferase family 4 protein OS=Pseudomonas tritici OX=2745518 GN=HU722_0009250 PE=4 SV=1	Pseudomonas tritici	338	1156	65.8	76.3	6.9e-156
117	TR	A0ABX4Q5U2	Fuc2NAc and GlcNAc transferase OS=Pseudomonas baetica OX=674054 GN=ATI02_5195 PE=4 SV=1	Pseudomonas baetica	341	1156	63.4	75.9	7.7e-156
118	TR	A0ABS4CCN8	Glycosyltransferase family 4 protein OS=Pseudomonas alliivorans OX=2810613 GN=JTJ32_22150 PE=4 SV=1	Pseudomonas alliivorans	338	1155	64.9	78.2	9.8e-156
119	TR	A0A1S2V6C3	Fuc2NAc and GlcNAc transferase OS=Pseudomonas costantinii OX=168469 GN=BFL40_08490 PE=4 SV=1	Pseudomonas costantinii	338	1155	65.3	76.7	9.8e-156
120	TR	A0ABS9FWE9	Glycosyl transferase OS=Pseudomonas lactis OX=1615674 GN=GIW47_28730 PE=4 SV=1	Pseudomonas lactis	340	1155	63.9	78.4	1.1e-155
121	TR	A0A089WKW9	Glycosyl transferase OS=Pseudomonas cremoricolorata OX=157783 GN=LK03_11930 PE=4 SV=1	Pseudomonas cremoricolorata	342	1155	63.4	77.0	1.1e-155
122	TR	A0A6M8MFM0	Putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase OS=Pseudomonas graminis OX=158627 GN=FX982_00131 PE=4 SV=1	Pseudomonas graminis	338	1154	63.9	76.5	1.4e-155
123	TR	A0A383RRP7	Putative undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase OS=Pseudomonas reidholzensis OX=1785162 GN=tagO PE=4 SV=1	Pseudomonas reidholzensis	338	1154	63.8	77.3	1.4e-155
124	TR	A0ABY6FBL7	Glycosyltransferase family 4 protein OS=Pseudomonas phytophila OX=2867264 GN=K3169_22120 PE=4 SV=1	Pseudomonas phytophila	336	1153	65.1	76.2	1.8e-155
125	TR	A0A6A7ZIR2	Glycosyl transferase OS=Pseudomonas helleri OX=1608996 GN=GHO28_22040 PE=4 SV=1	Pseudomonas helleri	337	1153	63.8	77.6	1.9e-155
126	TR	A0ABX8EZ97	Glycosyltransferase family 4 protein OS=Pseudomonas hormoni OX=3093767 GN=KJF94_05395 PE=4 SV=1	Pseudomonas hormoni	341	1153	64.1	77.0	2.2e-155
127	TR	A0ABV7T5U5	Glycosyltransferase family 4 protein OS=Stutzerimonas tarimensis OX=1507735 GN=ACFOMF_11690 PE=4 SV=1	Stutzerimonas tarimensis	341	1153	64.0	76.0	2.2e-155
128	TR	A0ACC7MP72	MraY family glycosyltransferase OS=Pseudomonas neuropathica OX=2730425 GN=ACJEBM_06690 PE=4 SV=1	Pseudomonas neuropathica	347	1153	66.3	76.3	2.7e-155
129	TR	A0ABT0JM54	Glycosyltransferase family 4 protein OS=Pseudomonas morbosilactucae OX=2938197 GN=M1B35_22955 PE=4 SV=1	Pseudomonas morbosilactucae	349	1153	66.7	78.6	2.9e-155
