#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
A7P12.fasta	NODE_23_length_39172_cov_1088.189052	37226	38056	+	(AGly)aadA1-pm	1-831/831	===============	0/0	100.00	99.88	argannot	JQ690540:7968-8798	(AGly)aadA1-pm	
A7P12.fasta	NODE_23_length_39172_cov_1088.189052	38131	38604	+	(Tmt)dfrA14	1-474/474	===============	0/0	100.00	100.00	argannot	GU726917:72-545	(Tmt)dfrA14	
A7P12.fasta	NODE_3_length_623449_cov_329.607064	7100	8308	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	100.00	argannot	NG_055652:101-1309	(Phe)bcr1	
A7P12.fasta	NODE_3_length_623449_cov_329.607064	25010	25816	+	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	97.65	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
A7P12.fasta	NODE_3_length_623449_cov_329.607064	38159	39352	-	(Bla)blaPDC-119	1-1194/1194	===============	0/0	100.00	99.50	argannot	KX196793:1-1194	(Bla)blaPDC-119	
A7P12.fasta	NODE_9_length_291129_cov_315.456217	52197	52835	-	(Phe)catB7	1-639/639	===============	0/0	100.00	98.75	argannot	AF036933:177-815	(Phe)catB7	
P11P0.fasta	NODE_11_length_252983_cov_138.248677	52093	52731	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.53	argannot	AF036933:177-815	(Phe)catB7	
P11P0.fasta	NODE_2_length_773179_cov_139.666360	694262	695455	+	(Bla)blaPDC-119	1-1194/1194	===============	0/0	100.00	99.50	argannot	KX196793:1-1194	(Bla)blaPDC-119	
P11P0.fasta	NODE_2_length_773179_cov_139.666360	707811	708617	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	97.89	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P11P0.fasta	NODE_2_length_773179_cov_139.666360	725322	726530	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.67	argannot	NG_055652:101-1309	(Phe)bcr1	
P11P0.fasta	NODE_9_length_280683_cov_170.430294	161919	162706	+	(Bla)blaOXA-50	1-789/789	========/======	1/1	99.87	99.49	argannot	AM117128:1-789	(Bla)blaOXA-50	
P11P12-1.fasta	NODE_10_length_251305_cov_565.314531	52913	53551	-	(Phe)catB7	1-639/639	===============	0/0	100.00	97.81	argannot	AF036933:177-815	(Phe)catB7	
P11P12-1.fasta	NODE_1_length_1182382_cov_547.539615	87820	89028	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	100.00	argannot	NG_055652:101-1309	(Phe)bcr1	
P11P12-1.fasta	NODE_1_length_1182382_cov_547.539615	105733	106539	+	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.02	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P11P12-1.fasta	NODE_1_length_1182382_cov_547.539615	118895	120088	-	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.83	argannot	MF281076:1-1194	(Bla)blaPDC-212	
P11P12-1.fasta	NODE_7_length_434787_cov_694.641204	321682	322470	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.99	argannot	AM117128:1-789	(Bla)blaOXA-50	
P11P12-2.fasta	NODE_11_length_251305_cov_415.363148	197755	198393	+	(Phe)catB7	1-639/639	===============	0/0	100.00	97.81	argannot	AF036933:177-815	(Phe)catB7	
P11P12-2.fasta	NODE_3_length_718140_cov_424.685277	87820	89028	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	100.00	argannot	NG_055652:101-1309	(Phe)bcr1	
P11P12-2.fasta	NODE_3_length_718140_cov_424.685277	105733	106539	+	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.02	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P11P12-2.fasta	NODE_3_length_718140_cov_424.685277	118895	120088	-	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.83	argannot	MF281076:1-1194	(Bla)blaPDC-212	
P11P12-2.fasta	NODE_7_length_434787_cov_539.737664	321682	322470	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.99	argannot	AM117128:1-789	(Bla)blaOXA-50	
P11P6.fasta	NODE_11_length_251305_cov_203.275371	52913	53551	-	(Phe)catB7	1-639/639	===============	0/0	100.00	97.81	argannot	AF036933:177-815	(Phe)catB7	
P11P6.fasta	NODE_1_length_1182382_cov_221.106204	1062295	1063488	+	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.83	argannot	MF281076:1-1194	(Bla)blaPDC-212	
P11P6.fasta	NODE_1_length_1182382_cov_221.106204	1075844	1076650	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.02	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P11P6.fasta	NODE_1_length_1182382_cov_221.106204	1093355	1094563	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	100.00	argannot	NG_055652:101-1309	(Phe)bcr1	
P11P6.fasta	NODE_7_length_434787_cov_269.737549	112318	113106	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.99	argannot	AM117128:1-789	(Bla)blaOXA-50	
P11P9.fasta	NODE_12_length_251265_cov_306.290376	52873	53511	-	(Phe)catB7	1-639/639	===============	0/0	100.00	97.81	argannot	AF036933:177-815	(Phe)catB7	
P11P9.fasta	NODE_1_length_1184760_cov_316.479424	1062261	1063454	+	(Bla)blaPDC-212	1-1194/1194	===============	0/0	100.00	99.83	argannot	MF281076:1-1194	(Bla)blaPDC-212	
P11P9.fasta	NODE_1_length_1184760_cov_316.479424	1075810	1076616	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.02	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P11P9.fasta	NODE_1_length_1184760_cov_316.479424	1093321	1094529	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	100.00	argannot	NG_055652:101-1309	(Phe)bcr1	
P11P9.fasta	NODE_7_length_434787_cov_411.215863	321682	322470	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.99	argannot	AM117128:1-789	(Bla)blaOXA-50	
P3P0.fasta	NODE_10_length_346552_cov_115.364396	306690	307883	+	(Bla)blaPDC-216	1-1194/1194	===============	0/0	100.00	99.67	argannot	MF281081:MF281081	(Bla)blaPDC-216	
P3P0.fasta	NODE_10_length_346552_cov_115.364396	320239	321045	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P3P0.fasta	NODE_10_length_346552_cov_115.364396	337744	338952	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
P3P0.fasta	NODE_13_length_164100_cov_94.331033	30992	31630	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.06	argannot	AF036933:177-815	(Phe)catB7	
P3P0.fasta	NODE_3_length_513216_cov_152.481199	162194	162982	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
P3P0.fasta	NODE_9_length_351220_cov_99.890851	312083	312280	+	(Flq)crpP	1-198/198	===============	0/0	100.00	97.47	argannot	NG_062203:101-298	(Flq)crpP	
P3P12.fasta	NODE_13_length_183624_cov_605.844209	7601	8809	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
P3P12.fasta	NODE_13_length_183624_cov_605.844209	25508	26314	+	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P3P12.fasta	NODE_13_length_183624_cov_605.844209	38670	39863	-	(Bla)blaPDC-216	1-1194/1194	===============	0/0	100.00	99.67	argannot	MF281081:MF281081	(Bla)blaPDC-216	
P3P12.fasta	NODE_15_length_164102_cov_466.603128	132473	133111	+	(Phe)catB7	1-639/639	===============	0/0	100.00	99.06	argannot	AF036933:177-815	(Phe)catB7	
P3P12.fasta	NODE_2_length_515754_cov_643.150109	352773	353561	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
P3P12.fasta	NODE_5_length_351220_cov_491.512091	312083	312280	+	(Flq)crpP	1-198/198	===============	0/0	100.00	97.47	argannot	NG_062203:101-298	(Flq)crpP	
P3P6-1.fasta	NODE_15_length_164104_cov_377.829071	30992	31630	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.06	argannot	AF036933:177-815	(Phe)catB7	
P3P6-1.fasta	NODE_2_length_515757_cov_531.761876	352767	353555	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
P3P6-1.fasta	NODE_6_length_351220_cov_386.742265	38941	39138	-	(Flq)crpP	1-198/198	===============	0/0	100.00	97.47	argannot	NG_062203:101-298	(Flq)crpP	
P3P6-1.fasta	NODE_7_length_346670_cov_499.569157	306808	308001	+	(Bla)blaPDC-216	1-1194/1194	===============	0/0	100.00	99.67	argannot	MF281081:MF281081	(Bla)blaPDC-216	
P3P6-1.fasta	NODE_7_length_346670_cov_499.569157	320357	321163	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P3P6-1.fasta	NODE_7_length_346670_cov_499.569157	337862	339070	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
P3P6-2.fasta	NODE_13_length_164102_cov_326.091870	132473	133111	+	(Phe)catB7	1-639/639	===============	0/0	100.00	99.06	argannot	AF036933:177-815	(Phe)catB7	
P3P6-2.fasta	NODE_1_length_751924_cov_444.337025	162320	163108	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
P3P6-2.fasta	NODE_8_length_351220_cov_342.613753	38941	39138	-	(Flq)crpP	1-198/198	===============	0/0	100.00	97.47	argannot	NG_062203:101-298	(Flq)crpP	
P3P6-2.fasta	NODE_9_length_346551_cov_411.147673	306689	307882	+	(Bla)blaPDC-216	1-1194/1194	===============	0/0	100.00	99.67	argannot	MF281081:MF281081	(Bla)blaPDC-216	
P3P6-2.fasta	NODE_9_length_346551_cov_411.147673	320238	321044	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P3P6-2.fasta	NODE_9_length_346551_cov_411.147673	337743	338951	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
P3P9.fasta	NODE_15_length_164100_cov_338.363406	30992	31630	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.06	argannot	AF036933:177-815	(Phe)catB7	
P3P9.fasta	NODE_2_length_515748_cov_400.073611	162194	162982	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	99.62	argannot	AM117128:1-789	(Bla)blaOXA-50	
P3P9.fasta	NODE_6_length_351220_cov_343.634781	38941	39138	-	(Flq)crpP	1-198/198	===============	0/0	100.00	97.47	argannot	NG_062203:101-298	(Flq)crpP	
P3P9.fasta	NODE_7_length_346552_cov_360.979531	306690	307883	+	(Bla)blaPDC-216	1-1194/1194	===============	0/0	100.00	99.67	argannot	MF281081:MF281081	(Bla)blaPDC-216	
P3P9.fasta	NODE_7_length_346552_cov_360.979531	320239	321045	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.76	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P3P9.fasta	NODE_7_length_346552_cov_360.979531	337744	338952	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.83	argannot	NG_055652:101-1309	(Phe)bcr1	
P42P0-1.fasta	NODE_27_length_11150_cov_322.751197	3715	3912	+	(Flq)crpP	1-198/198	===============	0/0	100.00	98.99	argannot	NG_062203:101-298	(Flq)crpP	
P42P0-1.fasta	NODE_2_length_790078_cov_354.361575	162075	162863	+	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.61	argannot	AM117128:1-789	(Bla)blaOXA-50	
P42P0-1.fasta	NODE_6_length_397903_cov_317.796833	344803	345441	+	(Phe)catB7	1-639/639	===============	0/0	100.00	99.53	argannot	AF036933:177-815	(Phe)catB7	
P42P0-1.fasta	NODE_7_length_369457_cov_337.213650	248552	249745	+	(Bla)blaPDC-119	1-1194/1194	===============	0/0	100.00	99.50	argannot	KX196793:1-1194	(Bla)blaPDC-119	
P42P0-1.fasta	NODE_7_length_369457_cov_337.213650	262101	262907	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.39	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P42P0-1.fasta	NODE_7_length_369457_cov_337.213650	279599	280807	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.92	argannot	NG_055652:101-1309	(Phe)bcr1	
P42P0-2.fasta	NODE_1_length_985758_cov_465.093376	864853	866046	+	(Bla)blaPDC-119	1-1194/1194	===============	0/0	100.00	99.50	argannot	KX196793:1-1194	(Bla)blaPDC-119	
P42P0-2.fasta	NODE_1_length_985758_cov_465.093376	878402	879208	-	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.39	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P42P0-2.fasta	NODE_1_length_985758_cov_465.093376	895900	897108	-	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.92	argannot	NG_055652:101-1309	(Phe)bcr1	
P42P0-2.fasta	NODE_21_length_11150_cov_447.479816	3715	3912	+	(Flq)crpP	1-198/198	===============	0/0	100.00	98.99	argannot	NG_062203:101-298	(Flq)crpP	
P42P0-2.fasta	NODE_2_length_966028_cov_532.244130	803012	803800	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.61	argannot	AM117128:1-789	(Bla)blaOXA-50	
P42P0-2.fasta	NODE_6_length_397686_cov_440.863856	52246	52884	-	(Phe)catB7	1-639/639	===============	0/0	100.00	99.53	argannot	AF036933:177-815	(Phe)catB7	
P42P12.fasta	NODE_14_length_211015_cov_462.436835	88651	89859	+	(Phe)bcr1	1-1209/1209	===============	0/0	100.00	99.92	argannot	NG_055652:101-1309	(Phe)bcr1	
P42P12.fasta	NODE_14_length_211015_cov_462.436835	106551	107357	+	(AGly)aph(3'')-IIb	1-807/807	===============	0/0	100.00	98.39	argannot	X90856:388-1194	(AGly)aph(3'')-IIb	
P42P12.fasta	NODE_14_length_211015_cov_462.436835	119713	120906	-	(Bla)blaPDC-119	1-1194/1194	===============	0/0	100.00	99.50	argannot	KX196793:1-1194	(Bla)blaPDC-119	
P42P12.fasta	NODE_25_length_11151_cov_354.578653	7240	7437	-	(Flq)crpP	1-198/198	===============	0/0	100.00	98.99	argannot	NG_062203:101-298	(Flq)crpP	
P42P12.fasta	NODE_5_length_457147_cov_499.957133	294285	295073	-	(Bla)blaOXA-50	1-789/789	===============	0/0	100.00	98.61	argannot	AM117128:1-789	(Bla)blaOXA-50	
P42P12.fasta	NODE_7_length_397689_cov_334.543180	344805	345443	+	(Phe)catB7	1-639/639	===============	0/0	100.00	99.53	argannot	AF036933:177-815	(Phe)catB7	
